design_id,analysis_level,horizon_weeks,status,candidate_target_definition,n_units,n_observed_weeks,n_unique_rolling_window_starts,n_candidate_targets,n_nonzero_candidate_targets,fraction_nonzero_candidate_targets,median_candidate_target_count,p95_candidate_target_count,p99_candidate_target_count,maximum_candidate_target_count,rolling_window_overlap_fraction,n_anchored_nonoverlap_blocks,n_nonzero_anchored_nonoverlap_blocks,fraction_nonzero_anchored_nonoverlap_blocks,n_units_with_any_observed_case,n_units_without_any_observed_case,effective_sample_size,effective_sample_size_status,limitation
A,municipality,4,descriptive_feasibility_computed,rolling_sum_of_each_complete_consecutive_observed_H_week_interval_including_window_start,212,574,571,121052,3717,0.030705812378151537,0,0,1,6,0.75,30316,934,0.030808813827681754,151,61,,UNKNOWN_requires_model_and_dependence_structure,"Rolling windows overlap and municipality observations share calendar time; raw row counts are not an effective sample size. Anchored non-overlap blocks are a transparent support diagnostic, not an independence claim."
B,municipality,8,descriptive_feasibility_computed,rolling_sum_of_each_complete_consecutive_observed_H_week_interval_including_window_start,212,574,567,120204,6738,0.05605470699810323,0,1,2,11,0.875,15052,845,0.056138719107095406,151,61,,UNKNOWN_requires_model_and_dependence_structure,"Rolling windows overlap and municipality observations share calendar time; raw row counts are not an effective sample size. Anchored non-overlap blocks are a transparent support diagnostic, not an independence claim."
C,municipality,12,descriptive_feasibility_computed,rolling_sum_of_each_complete_consecutive_observed_H_week_interval_including_window_start,212,574,563,119356,9474,0.07937598444988103,0,1,2,13,0.9166666666666666,9964,797,0.0799879566439181,151,61,,UNKNOWN_requires_model_and_dependence_structure,"Rolling windows overlap and municipality observations share calendar time; raw row counts are not an effective sample size. Anchored non-overlap blocks are a transparent support diagnostic, not an independence claim."
D,statistical_region,4,descriptive_feasibility_computed,rolling_sum_of_each_complete_consecutive_observed_H_week_interval_including_window_start,12,574,571,6852,1972,0.28779918272037364,0,3,8,17,0.75,1716,495,0.28846153846153844,12,0,,UNKNOWN_requires_model_and_dependence_structure,"Rolling windows overlap and municipality observations share calendar time; raw row counts are not an effective sample size. Anchored non-overlap blocks are a transparent support diagnostic, not an independence claim."
E,statistical_region,8,descriptive_feasibility_computed,rolling_sum_of_each_complete_consecutive_observed_H_week_interval_including_window_start,12,574,567,6804,2836,0.41681363903586127,0,6,14,28,0.875,852,354,0.4154929577464789,12,0,,UNKNOWN_requires_model_and_dependence_structure,"Rolling windows overlap and municipality observations share calendar time; raw row counts are not an effective sample size. Anchored non-overlap blocks are a transparent support diagnostic, not an independence claim."
