fold_id,validation_iso_year,candidate_id,n_train,n_validation,n_parameters_or_features,converged,iterations,warning_count,warning_messages,train_target_end_max,validation_start,training_scaler_means,training_scaler_standard_deviations
kme_2018,2018,glm_seasonal_region_offset,948,528,14,true,24,0,,2017-12-25,2018-01-01,{},{}
kme_2018,2018,glm_past_kme_offset,948,528,15,true,24,0,,2017-12-25,2018-01-01,"{""past_8w_kme_incidence_per_100000"": 0.943340948748417}","{""past_8w_kme_incidence_per_100000"": 1.9211701182607128}"
kme_2018,2018,glm_weather_only_offset,948,528,5,true,6,0,,2017-12-25,2018-01-01,"{""stl1_mean_c_previous_4w_mean"": 12.204743895992971, ""swvl1_mean_m3_m3_previous_4w_mean"": 0.3515148781350454, ""t2m_mean_c_previous_4w_mean"": 12.148653703213617, ""tp_sum_mm_previous_4w_sum"": 103.5455614120198}","{""stl1_mean_c_previous_4w_mean"": 7.190949250891217, ""swvl1_mean_m3_m3_previous_4w_mean"": 0.03584870285462183, ""t2m_mean_c_previous_4w_mean"": 7.462913062178556, ""tp_sum_mm_previous_4w_sum"": 67.01019669737416}"
kme_2018,2018,glm_seasonal_region_weather_offset,948,528,18,true,24,0,,2017-12-25,2018-01-01,"{""stl1_mean_c_previous_4w_mean"": 12.204743895992971, ""swvl1_mean_m3_m3_previous_4w_mean"": 0.3515148781350454, ""t2m_mean_c_previous_4w_mean"": 12.148653703213617, ""tp_sum_mm_previous_4w_sum"": 103.5455614120198}","{""stl1_mean_c_previous_4w_mean"": 7.190949250891217, ""swvl1_mean_m3_m3_previous_4w_mean"": 0.03584870285462183, ""t2m_mean_c_previous_4w_mean"": 7.462913062178556, ""tp_sum_mm_previous_4w_sum"": 67.01019669737416}"
kme_2018,2018,glm_compact_weather_offset,948,528,19,true,24,0,,2017-12-25,2018-01-01,"{""past_8w_kme_incidence_per_100000"": 0.943340948748417, ""stl1_mean_c_previous_4w_mean"": 12.204743895992971, ""swvl1_mean_m3_m3_previous_4w_mean"": 0.3515148781350454, ""t2m_mean_c_previous_4w_mean"": 12.148653703213617, ""tp_sum_mm_previous_4w_sum"": 103.5455614120198}","{""past_8w_kme_incidence_per_100000"": 1.9211701182607128, ""stl1_mean_c_previous_4w_mean"": 7.190949250891217, ""swvl1_mean_m3_m3_previous_4w_mean"": 0.03584870285462183, ""t2m_mean_c_previous_4w_mean"": 7.462913062178556, ""tp_sum_mm_previous_4w_sum"": 67.01019669737416}"
kme_2018,2018,catboost_compact_weather_offset,948,528,8,true,200,0,,2017-12-25,2018-01-01,not_applicable,not_applicable
kme_2019,2019,glm_seasonal_region_offset,1572,528,14,true,7,0,,2018-12-24,2018-12-31,{},{}
kme_2019,2019,glm_past_kme_offset,1572,528,15,true,7,0,,2018-12-24,2018-12-31,"{""past_8w_kme_incidence_per_100000"": 0.9691390668499026}","{""past_8w_kme_incidence_per_100000"": 1.870158875071048}"
kme_2019,2019,glm_weather_only_offset,1572,528,5,true,6,0,,2018-12-24,2018-12-31,"{""stl1_mean_c_previous_4w_mean"": 11.66391076091986, ""swvl1_mean_m3_m3_previous_4w_mean"": 0.35921031864636016, ""t2m_mean_c_previous_4w_mean"": 11.443820199627694, ""tp_sum_mm_previous_4w_sum"": 106.6881052072603}","{""stl1_mean_c_previous_4w_mean"": 7.2360372002369475, ""swvl1_mean_m3_m3_previous_4w_mean"": 0.033174707871234735, ""t2m_mean_c_previous_4w_mean"": 7.707364722010944, ""tp_sum_mm_previous_4w_sum"": 58.55944241066933}"
kme_2019,2019,glm_seasonal_region_weather_offset,1572,528,18,true,7,0,,2018-12-24,2018-12-31,"{""stl1_mean_c_previous_4w_mean"": 11.66391076091986, ""swvl1_mean_m3_m3_previous_4w_mean"": 0.35921031864636016, ""t2m_mean_c_previous_4w_mean"": 11.443820199627694, ""tp_sum_mm_previous_4w_sum"": 106.6881052072603}","{""stl1_mean_c_previous_4w_mean"": 7.2360372002369475, ""swvl1_mean_m3_m3_previous_4w_mean"": 0.033174707871234735, ""t2m_mean_c_previous_4w_mean"": 7.707364722010944, ""tp_sum_mm_previous_4w_sum"": 58.55944241066933}"
