candidate_id,system_type,n_folds,n_predictions,pooled_mae,mean_fold_mae,pooled_rmse,mean_fold_rmse,pooled_mean_poisson_deviance,poisson_deviance_status,n_folds_improving_over_persistence_mae
baseline_region_historical_rate,baseline,8,4236,1.5826968261391767,1.5794280098507416,2.8189570586889565,2.6186100885326025,,invalid_pairs_present,6
baseline_persistence_8w,baseline,8,4236,1.8295561850802644,1.8254419191919191,3.6612974681308867,3.383307473206037,,invalid_pairs_present,0
glm_seasonal_region_offset,statistical_model,8,4236,1.2289081535157136,1.2274065427145524,2.24248125939023,2.1349968757250477,1.6828917468694917,valid,7
glm_past_kme_offset,statistical_model,8,4236,1.232810892176967,1.2310609801639525,2.2784454824864673,2.156609284428701,1.7351476862665947,valid,7
glm_weather_only_offset,statistical_model,8,4236,1.6232201897186178,1.6195205115092979,2.880734554079979,2.6696279113921015,2.908071308337619,valid,5
glm_seasonal_region_weather_offset,statistical_model,8,4236,1.261763155916513,1.2596202105559755,2.3283789427358363,2.187394050911545,1.7786752983902516,valid,7
glm_compact_weather_offset,statistical_model,8,4236,1.2665274710923329,1.2640791455432039,2.3598787012805884,2.200765584338152,1.844672464771733,valid,7
catboost_compact_weather_offset,ml_challenger,8,4236,1.2075621850459202,1.2057132052395172,2.226511530328418,2.1113155702726933,1.5717568603631629,valid,7
