fold_id,validation_iso_year,train_issue_start,train_issue_end,train_target_end_max,validation_start,validation_end,n_train,n_validation,n_purged_target_boundary,target_embargo_weeks
kme_2018,2018,2016-05-02,2017-10-30,2017-12-25,2018-01-01,2018-12-24,948,528,96,8
kme_2019,2019,2016-05-02,2018-10-29,2018-12-24,2018-12-31,2019-12-23,1572,528,96,8
kme_2020,2020,2016-05-02,2019-10-28,2019-12-23,2019-12-30,2020-12-28,2196,540,96,8
kme_2021,2021,2016-05-02,2020-11-02,2020-12-28,2021-01-04,2021-12-27,2832,528,96,8
kme_2022,2022,2016-05-02,2021-11-01,2021-12-27,2022-01-03,2022-12-26,3456,528,96,8
kme_2023,2023,2016-05-02,2022-10-31,2022-12-26,2023-01-02,2023-12-25,4080,528,96,8
kme_2024,2024,2016-05-02,2023-10-30,2023-12-25,2024-01-01,2024-12-23,4704,528,96,8
kme_2025,2025,2016-05-02,2024-10-28,2024-12-23,2024-12-30,2025-10-27,5328,528,96,8
