municipality_code,municipality_name,issue_year,numerator_period_start,numerator_period_end,reported_lyme_cases,population_total_on_1_january,incidence_per_100000,denominator_status
038,Ilirska Bistrica,2018,2018-01-01,2018-12-31,36,13329,270.087778528,valid
038,Ilirska Bistrica,2019,2019-01-07,2019-12-30,14,13340,104.9475262369,valid
038,Ilirska Bistrica,2020,2020-01-06,2020-12-28,22,13297,165.450853576,valid
038,Ilirska Bistrica,2021,2021-01-04,2021-12-27,10,13379,74.7440017939,valid
038,Ilirska Bistrica,2022,2022-01-03,2022-12-26,21,13399,156.7281140384,valid
038,Ilirska Bistrica,2023,2023-01-02,2023-12-25,15,13362,112.2586439156,valid
038,Ilirska Bistrica,2024,2024-01-01,2024-12-30,11,13313,82.6260046571,valid
039,Ivančna Gorica,2016,2016-01-04,2016-12-26,32,16182,197.7505870721,valid
039,Ivančna Gorica,2017,2017-01-02,2017-12-25,25,16361,152.8023959416,valid
039,Ivančna Gorica,2018,2018-01-01,2018-12-31,61,16544,368.7137330754,valid
039,Ivančna Gorica,2019,2019-01-07,2019-12-30,19,16793,113.1423807539,valid
039,Ivančna Gorica,2020,2020-01-06,2020-12-28,66,17008,388.0526810913,valid
039,Ivančna Gorica,2021,2021-01-04,2021-12-27,28,17538,159.6533242103,valid
039,Ivančna Gorica,2022,2022-01-03,2022-12-26,23,17599,130.689243707,valid
039,Ivančna Gorica,2023,2023-01-02,2023-12-25,14,17738,78.9265982636,valid
039,Ivančna Gorica,2024,2024-01-01,2024-12-30,21,18114,115.9324279563,valid
040,Izola,2016,2016-01-04,2016-12-26,33,15962,206.7410098985,valid
040,Izola,2017,2017-01-02,2017-12-25,21,16015,131.1270683734,valid
040,Izola,2018,2018-01-01,2018-12-31,41,16015,256.0099906338,valid
040,Izola,2019,2019-01-07,2019-12-30,24,16322,147.0408038231,valid
040,Izola,2020,2020-01-06,2020-12-28,28,16486,169.8410772777,valid
040,Izola,2021,2021-01-04,2021-12-27,25,16737,149.3696600347,valid
040,Izola,2022,2022-01-03,2022-12-26,34,16647,204.2410043852,valid
040,Izola,2023,2023-01-02,2023-12-25,19,16564,114.7065926105,valid
040,Izola,2024,2024-01-01,2024-12-30,11,16479,66.7516232781,valid
041,Jesenice,2016,2016-01-04,2016-12-26,53,20858,254.0991466104,valid
041,Jesenice,2017,2017-01-02,2017-12-25,50,20754,240.9174135106,valid
041,Jesenice,2018,2018-01-01,2018-12-31,111,20759,534.7078375644,valid
041,Jesenice,2019,2019-01-07,2019-12-30,66,20991,314.420465914,valid
041,Jesenice,2020,2020-01-06,2020-12-28,133,21340,623.2427366448,valid
041,Jesenice,2021,2021-01-04,2021-12-27,62,21679,285.9910512478,valid
041,Jesenice,2022,2022-01-03,2022-12-26,150,21758,689.4015994117,valid
041,Jesenice,2023,2023-01-02,2023-12-25,54,21883,246.7668966778,valid
041,Jesenice,2024,2024-01-01,2024-12-30,59,21944,268.8662048852,valid
042,Juršinci,2016,2016-01-04,2016-12-26,4,2356,169.779286927,valid
042,Juršinci,2017,2017-01-02,2017-12-25,6,2375,252.6315789474,valid
042,Juršinci,2018,2018-01-01,2018-12-31,5,2375,210.5263157895,valid
042,Juršinci,2019,2019-01-07,2019-12-30,2,2362,84.6740050804,valid
042,Juršinci,2020,2020-01-06,2020-12-28,6,2380,252.1008403361,valid
042,Juršinci,2021,2021-01-04,2021-12-27,4,2421,165.2209830648,valid
042,Juršinci,2022,2022-01-03,2022-12-26,5,2501,199.9200319872,valid
042,Juršinci,2023,2023-01-02,2023-12-25,5,2481,201.5316404676,valid
042,Juršinci,2024,2024-01-01,2024-12-30,3,2458,122.0504475183,valid
043,Kamnik,2016,2016-01-04,2016-12-26,61,29362,207.7515155643,valid
043,Kamnik,2017,2017-01-02,2017-12-25,40,29416,135.9804188197,valid
043,Kamnik,2018,2018-01-01,2018-12-31,151,29487,512.0900735918,valid
043,Kamnik,2019,2019-01-07,2019-12-30,55,29686,185.2725190325,valid
043,Kamnik,2020,2020-01-06,2020-12-28,80,29925,267.3350041771,valid
043,Kamnik,2021,2021-01-04,2021-12-27,19,29989,63.3565640735,valid
043,Kamnik,2022,2022-01-03,2022-12-26,39,29793,130.9032323029,valid
043,Kamnik,2023,2023-01-02,2023-12-25,16,29979,53.3706928183,valid
043,Kamnik,2024,2024-01-01,2024-12-30,24,30020,79.9467021985,valid
044,Kanal,2016,2016-01-04,2016-12-26,15,5431,276.1922297919,valid
044,Kanal,2017,2017-01-02,2017-12-25,16,5342,299.5132909023,valid
044,Kanal,2018,2018-01-01,2018-12-31,22,5311,414.2346074186,valid
044,Kanal,2019,2019-01-07,2019-12-30,22,5301,415.0160347104,valid
044,Kanal,2020,2020-01-06,2020-12-28,52,5291,982.800982801,valid
044,Kanal,2021,2021-01-04,2021-12-27,14,5289,264.7003214218,valid
044,Kanal,2022,2022-01-03,2022-12-26,24,5245,457.5786463298,valid
044,Kanal,2023,2023-01-02,2023-12-25,19,5213,364.4734318051,valid
044,Kanal,2024,2024-01-01,2024-12-30,17,5106,332.9416372895,valid
045,Kidričevo,2016,2016-01-04,2016-12-26,7,6449,108.5439603039,valid
045,Kidričevo,2017,2017-01-02,2017-12-25,2,6417,31.1672120929,valid
045,Kidričevo,2018,2018-01-01,2018-12-31,6,6450,93.023255814,valid
045,Kidričevo,2019,2019-01-07,2019-12-30,8,6495,123.1716705158,valid
045,Kidričevo,2020,2020-01-06,2020-12-28,12,6541,183.4581868216,valid
045,Kidričevo,2021,2021-01-04,2021-12-27,9,6539,137.6357241168,valid
045,Kidričevo,2022,2022-01-03,2022-12-26,5,6547,76.370856881,valid
045,Kidričevo,2023,2023-01-02,2023-12-25,3,6586,45.5511691467,valid
045,Kidričevo,2024,2024-01-01,2024-12-30,4,6594,60.661207158,valid
046,Kobarid,2016,2016-01-04,2016-12-26,34,4121,825.042465421,valid
046,Kobarid,2017,2017-01-02,2017-12-25,26,4105,633.3739342266,valid
046,Kobarid,2018,2018-01-01,2018-12-31,62,4104,1510.7212475634,valid
046,Kobarid,2019,2019-01-07,2019-12-30,23,4079,563.8636920814,valid
046,Kobarid,2020,2020-01-06,2020-12-28,62,4052,1530.1085883514,valid
046,Kobarid,2021,2021-01-04,2021-12-27,44,4032,1091.2698412698,valid
046,Kobarid,2022,2022-01-03,2022-12-26,46,4044,1137.487636004,valid
046,Kobarid,2023,2023-01-02,2023-12-25,26,4046,642.6099851705,valid
046,Kobarid,2024,2024-01-01,2024-12-30,52,4045,1285.5377008653,valid
047,Kobilje,2016,2016-01-04,2016-12-26,2,574,348.4320557491,valid
047,Kobilje,2017,2017-01-02,2017-12-25,3,560,535.7142857143,valid
047,Kobilje,2018,2018-01-01,2018-12-31,1,559,178.8908765653,valid
047,Kobilje,2019,2019-01-07,2019-12-30,0,542,0,valid
047,Kobilje,2020,2020-01-06,2020-12-28,1,542,184.5018450185,valid
047,Kobilje,2021,2021-01-04,2021-12-27,0,540,0,valid
047,Kobilje,2022,2022-01-03,2022-12-26,0,532,0,valid
047,Kobilje,2023,2023-01-02,2023-12-25,1,512,195.3125,valid
047,Kobilje,2024,2024-01-01,2024-12-30,0,511,0,valid
048,Kočevje,2016,2016-01-04,2016-12-26,18,16005,112.4648547329,valid
048,Kočevje,2017,2017-01-02,2017-12-25,8,15881,50.3746615452,valid
048,Kočevje,2018,2018-01-01,2018-12-31,17,15771,107.7927842242,valid
048,Kočevje,2019,2019-01-07,2019-12-30,9,15686,57.3760040801,valid
048,Kočevje,2020,2020-01-06,2020-12-28,16,15674,102.0798775041,valid
048,Kočevje,2021,2021-01-04,2021-12-27,5,15644,31.9611352595,valid
048,Kočevje,2022,2022-01-03,2022-12-26,5,15623,32.0040965244,valid
048,Kočevje,2023,2023-01-02,2023-12-25,6,15674,38.2799540641,valid
048,Kočevje,2024,2024-01-01,2024-12-30,7,15661,44.6970180704,valid
049,Komen,2016,2016-01-04,2016-12-26,11,3518,312.6776577601,valid
049,Komen,2017,2017-01-02,2017-12-25,17,3523,482.5432869713,valid
049,Komen,2018,2018-01-01,2018-12-31,10,3537,282.7254735652,valid
049,Komen,2019,2019-01-07,2019-12-30,8,3534,226.3723825693,valid
049,Komen,2020,2020-01-06,2020-12-28,15,3529,425.0495891187,valid
049,Komen,2021,2021-01-04,2021-12-27,5,3655,136.7989056088,valid
049,Komen,2022,2022-01-03,2022-12-26,14,3634,385.2504127683,valid
049,Komen,2023,2023-01-02,2023-12-25,5,3578,139.7428731135,valid
049,Komen,2024,2024-01-01,2024-12-30,9,3509,256.4833285836,valid
050,Koper,2016,2016-01-04,2016-12-26,84,51045,164.5606817514,valid
050,Koper,2017,2017-01-02,2017-12-25,82,51361,159.6542123401,valid
050,Koper,2018,2018-01-01,2018-12-31,88,51794,169.9038498668,valid
050,Koper,2019,2019-01-07,2019-12-30,50,52234,95.7230922388,valid
050,Koper,2020,2020-01-06,2020-12-28,103,52630,195.7058711761,valid
050,Koper,2021,2021-01-04,2021-12-27,83,53292,155.7457029198,valid
050,Koper,2022,2022-01-03,2022-12-26,100,53462,187.0487449029,valid
050,Koper,2023,2023-01-02,2023-12-25,46,53875,85.3828306265,valid
050,Koper,2024,2024-01-01,2024-12-30,50,54252,92.1625009216,valid
051,Kozje,2016,2016-01-04,2016-12-26,2,3092,64.6830530401,valid
051,Kozje,2017,2017-01-02,2017-12-25,1,3077,32.4991875203,valid
051,Kozje,2018,2018-01-01,2018-12-31,3,3054,98.231827112,valid
051,Kozje,2019,2019-01-07,2019-12-30,1,3037,32.9272308199,valid
051,Kozje,2020,2020-01-06,2020-12-28,4,2989,133.8240214118,valid
051,Kozje,2021,2021-01-04,2021-12-27,0,3030,0,valid
051,Kozje,2022,2022-01-03,2022-12-26,1,3029,33.0141961043,valid
051,Kozje,2023,2023-01-02,2023-12-25,1,3010,33.2225913621,valid
051,Kozje,2024,2024-01-01,2024-12-30,3,2993,100.2338790511,valid
052,Kranj,2016,2016-01-04,2016-12-26,155,56115,276.2184799073,valid
052,Kranj,2017,2017-01-02,2017-12-25,135,56081,240.7232395999,valid
052,Kranj,2018,2018-01-01,2018-12-31,239,55950,427.1671134942,valid
052,Kranj,2019,2019-01-07,2019-12-30,118,56267,209.7143974266,valid
052,Kranj,2020,2020-01-06,2020-12-28,267,57065,467.8874967143,valid
052,Kranj,2021,2021-01-04,2021-12-27,94,57185,164.3787706566,valid
052,Kranj,2022,2022-01-03,2022-12-26,143,56639,252.4762089726,valid
052,Kranj,2023,2023-01-02,2023-12-25,90,57171,157.4224694338,valid
052,Kranj,2024,2024-01-01,2024-12-30,86,57138,150.5127935875,valid
053,Kranjska Gora,2016,2016-01-04,2016-12-26,24,5294,453.3434076313,valid
053,Kranjska Gora,2017,2017-01-02,2017-12-25,14,5286,264.850548619,valid
053,Kranjska Gora,2018,2018-01-01,2018-12-31,17,5212,326.1703760553,valid
053,Kranjska Gora,2019,2019-01-07,2019-12-30,20,5201,384.5414343396,valid
053,Kranjska Gora,2020,2020-01-06,2020-12-28,33,5225,631.5789473684,valid
053,Kranjska Gora,2021,2021-01-04,2021-12-27,15,7522,199.415049189,valid
053,Kranjska Gora,2022,2022-01-03,2022-12-26,48,7689,624.2684354272,valid
053,Kranjska Gora,2023,2023-01-02,2023-12-25,11,5878,187.138482477,valid
053,Kranjska Gora,2024,2024-01-01,2024-12-30,20,5247,381.1701924909,valid
054,Krško,2016,2016-01-04,2016-12-26,40,25884,154.5356204605,valid
054,Krško,2017,2017-01-02,2017-12-25,40,25853,154.7209221367,valid
054,Krško,2018,2018-01-01,2018-12-31,65,25833,251.6161498858,valid
054,Krško,2019,2019-01-07,2019-12-30,38,25996,146.1763348207,valid
054,Krško,2020,2020-01-06,2020-12-28,51,26224,194.4783404515,valid
054,Krško,2021,2021-01-04,2021-12-27,26,25904,100.3705991353,valid
054,Krško,2022,2022-01-03,2022-12-26,28,25833,108.3884953354,valid
054,Krško,2023,2023-01-02,2023-12-25,19,25982,73.1275498422,valid
054,Krško,2024,2024-01-01,2024-12-30,28,26019,107.6136669357,valid
055,Kungota,2016,2016-01-04,2016-12-26,8,4761,168.031926066,valid
055,Kungota,2017,2017-01-02,2017-12-25,10,4788,208.8554720134,valid
055,Kungota,2018,2018-01-01,2018-12-31,16,4762,335.9932801344,valid
055,Kungota,2019,2019-01-07,2019-12-30,9,4705,191.2858660999,valid
055,Kungota,2020,2020-01-06,2020-12-28,10,4724,211.6850127011,valid
055,Kungota,2021,2021-01-04,2021-12-27,7,4844,144.5086705202,valid
055,Kungota,2022,2022-01-03,2022-12-26,13,4916,264.4426362897,valid
055,Kungota,2023,2023-01-02,2023-12-25,4,4950,80.8080808081,valid
055,Kungota,2024,2024-01-01,2024-12-30,9,5032,178.8553259141,valid
056,Kuzma,2016,2016-01-04,2016-12-26,4,1582,252.8445006321,valid
056,Kuzma,2017,2017-01-02,2017-12-25,4,1577,253.6461636018,valid
056,Kuzma,2018,2018-01-01,2018-12-31,10,1555,643.0868167203,valid
056,Kuzma,2019,2019-01-07,2019-12-30,4,1573,254.2911633821,valid
056,Kuzma,2020,2020-01-06,2020-12-28,7,1573,445.0095359186,valid
056,Kuzma,2021,2021-01-04,2021-12-27,4,1624,246.3054187192,valid
056,Kuzma,2022,2022-01-03,2022-12-26,5,1654,302.2974607013,valid
056,Kuzma,2023,2023-01-02,2023-12-25,1,1636,61.1246943765,valid
056,Kuzma,2024,2024-01-01,2024-12-30,1,1625,61.5384615385,valid
057,Laško,2016,2016-01-04,2016-12-26,36,13156,273.6394040742,valid
057,Laško,2017,2017-01-02,2017-12-25,14,13145,106.5043742868,valid
057,Laško,2018,2018-01-01,2018-12-31,37,13081,282.8529928905,valid
057,Laško,2019,2019-01-07,2019-12-30,21,13006,161.4639397201,valid
057,Laško,2020,2020-01-06,2020-12-28,35,13067,267.8503099411,valid
057,Laško,2021,2021-01-04,2021-12-27,10,13123,76.2020879372,valid
057,Laško,2022,2022-01-03,2022-12-26,9,12976,69.3588162762,valid
057,Laško,2023,2023-01-02,2023-12-25,10,13013,76.8462306924,valid
057,Laško,2024,2024-01-01,2024-12-30,8,13002,61.5289955391,valid
058,Lenart,2016,2016-01-04,2016-12-26,10,8275,120.8459214502,valid
058,Lenart,2017,2017-01-02,2017-12-25,17,8251,206.0356320446,valid
058,Lenart,2018,2018-01-01,2018-12-31,23,8287,277.5431398576,valid
058,Lenart,2019,2019-01-07,2019-12-30,12,8432,142.3149905123,valid
058,Lenart,2020,2020-01-06,2020-12-28,32,8502,376.3820277582,valid
058,Lenart,2021,2021-01-04,2021-12-27,19,8512,223.2142857143,valid
058,Lenart,2022,2022-01-03,2022-12-26,11,8561,128.4896624226,valid
058,Lenart,2023,2023-01-02,2023-12-25,16,8648,185.0138760407,valid
058,Lenart,2024,2024-01-01,2024-12-30,12,8591,139.6810615761,valid
059,Lendava,2016,2016-01-04,2016-12-26,26,10538,246.7261339913,valid
059,Lendava,2017,2017-01-02,2017-12-25,21,10506,199.8857795545,valid
059,Lendava,2018,2018-01-01,2018-12-31,28,10406,269.0755333461,valid
059,Lendava,2019,2019-01-07,2019-12-30,30,10411,288.156757276,valid
059,Lendava,2020,2020-01-06,2020-12-28,33,10426,316.5164013044,valid
059,Lendava,2021,2021-01-04,2021-12-27,9,10486,85.828724013,valid
059,Lendava,2022,2022-01-03,2022-12-26,18,10312,174.5539177657,valid
059,Lendava,2023,2023-01-02,2023-12-25,10,10211,97.9336010185,valid
059,Lendava,2024,2024-01-01,2024-12-30,7,10180,68.7622789784,valid
060,Litija,2016,2016-01-04,2016-12-26,24,15099,158.9509239022,valid
060,Litija,2017,2017-01-02,2017-12-25,33,15215,216.891225764,valid
060,Litija,2018,2018-01-01,2018-12-31,51,15317,332.9633740289,valid
060,Litija,2019,2019-01-07,2019-12-30,28,15356,182.3391508205,valid
060,Litija,2020,2020-01-06,2020-12-28,41,15499,264.53319569,valid
060,Litija,2021,2021-01-04,2021-12-27,10,15743,63.5202947342,valid
060,Litija,2022,2022-01-03,2022-12-26,9,15720,57.2519083969,valid
060,Litija,2023,2023-01-02,2023-12-25,9,15753,57.1319748619,valid
060,Litija,2024,2024-01-01,2024-12-30,10,15834,63.155235569,valid
061,Ljubljana,2016,2016-01-04,2016-12-26,445,288307,154.3493567621,valid
061,Ljubljana,2017,2017-01-02,2017-12-25,487,288919,168.5593540058,valid
061,Ljubljana,2018,2018-01-01,2018-12-31,824,289518,284.6109741018,valid
061,Ljubljana,2019,2019-01-07,2019-12-30,456,292988,155.6377735607,valid
061,Ljubljana,2020,2020-01-06,2020-12-28,945,295504,319.7926254805,valid
061,Ljubljana,2021,2021-01-04,2021-12-27,381,294464,129.3876331232,valid
061,Ljubljana,2022,2022-01-03,2022-12-26,468,293218,159.6082095915,valid
061,Ljubljana,2023,2023-01-02,2023-12-25,428,296228,144.4833034014,valid
061,Ljubljana,2024,2024-01-01,2024-12-30,490,297575,164.6643703268,valid
062,Ljubno,2016,2016-01-04,2016-12-26,12,2604,460.8294930876,valid
062,Ljubno,2017,2017-01-02,2017-12-25,13,2572,505.4432348367,valid
062,Ljubno,2018,2018-01-01,2018-12-31,17,2545,667.9764243615,valid
062,Ljubno,2019,2019-01-07,2019-12-30,11,2541,432.9004329004,valid
062,Ljubno,2020,2020-01-06,2020-12-28,25,2550,980.3921568627,valid
062,Ljubno,2021,2021-01-04,2021-12-27,8,2576,310.5590062112,valid
062,Ljubno,2022,2022-01-03,2022-12-26,0,2542,0,valid
062,Ljubno,2023,2023-01-02,2023-12-25,0,2560,0,valid
062,Ljubno,2024,2024-01-01,2024-12-30,1,2512,39.8089171975,valid
063,Ljutomer,2016,2016-01-04,2016-12-26,60,11491,522.1477678183,valid
063,Ljutomer,2017,2017-01-02,2017-12-25,74,11374,650.6066467382,valid
063,Ljutomer,2018,2018-01-01,2018-12-31,137,11329,1209.2859034337,valid
063,Ljutomer,2019,2019-01-07,2019-12-30,98,11261,870.2601900364,valid
063,Ljutomer,2020,2020-01-06,2020-12-28,158,11268,1402.2009229677,valid
063,Ljutomer,2021,2021-01-04,2021-12-27,86,11233,765.6013531559,valid
063,Ljutomer,2022,2022-01-03,2022-12-26,86,11140,771.9928186715,valid
063,Ljutomer,2023,2023-01-02,2023-12-25,16,11042,144.9012859989,valid
063,Ljutomer,2024,2024-01-01,2024-12-30,13,11000,118.1818181818,valid
064,Logatec,2016,2016-01-04,2016-12-26,15,13752,109.07504363,valid
064,Logatec,2017,2017-01-02,2017-12-25,25,13802,181.1331691059,valid
064,Logatec,2018,2018-01-01,2018-12-31,59,13976,422.1522610189,valid
064,Logatec,2019,2019-01-07,2019-12-30,32,14150,226.148409894,valid
064,Logatec,2020,2020-01-06,2020-12-28,110,14396,764.1011392053,valid
064,Logatec,2021,2021-01-04,2021-12-27,35,14681,238.4033785164,valid
064,Logatec,2022,2022-01-03,2022-12-26,59,14699,401.3878495136,valid
064,Logatec,2023,2023-01-02,2023-12-25,36,15065,238.964487222,valid
064,Logatec,2024,2024-01-01,2024-12-30,46,15046,305.7290974345,valid
065,Loška dolina,2016,2016-01-04,2016-12-26,11,3857,285.1957479907,valid
065,Loška dolina,2017,2017-01-02,2017-12-25,15,3835,391.1342894394,valid
065,Loška dolina,2018,2018-01-01,2018-12-31,22,3731,589.6542481908,valid
065,Loška dolina,2019,2019-01-07,2019-12-30,15,3744,400.641025641,valid
065,Loška dolina,2020,2020-01-06,2020-12-28,13,3757,346.0207612457,valid
065,Loška dolina,2021,2021-01-04,2021-12-27,2,3703,54.0102619498,valid
065,Loška dolina,2022,2022-01-03,2022-12-26,5,3624,137.9690949227,valid
065,Loška dolina,2023,2023-01-02,2023-12-25,1,3550,28.1690140845,valid
065,Loška dolina,2024,2024-01-01,2024-12-30,7,3526,198.5252410664,valid
066,Loški Potok,2016,2016-01-04,2016-12-26,0,1866,0,valid
066,Loški Potok,2017,2017-01-02,2017-12-25,2,1863,107.3537305421,valid
066,Loški Potok,2018,2018-01-01,2018-12-31,0,1838,0,valid
066,Loški Potok,2019,2019-01-07,2019-12-30,2,1798,111.234705228,valid
066,Loški Potok,2020,2020-01-06,2020-12-28,5,1789,279.4857462269,valid
066,Loški Potok,2021,2021-01-04,2021-12-27,1,1816,55.0660792952,valid
066,Loški Potok,2022,2022-01-03,2022-12-26,1,1807,55.3403431101,valid
066,Loški Potok,2023,2023-01-02,2023-12-25,1,1797,55.6483027268,valid
066,Loški Potok,2024,2024-01-01,2024-12-30,0,1803,0,valid
067,Luče,2016,2016-01-04,2016-12-26,3,1495,200.6688963211,valid
067,Luče,2017,2017-01-02,2017-12-25,7,1490,469.7986577181,valid
067,Luče,2018,2018-01-01,2018-12-31,17,1472,1154.8913043478,valid
067,Luče,2019,2019-01-07,2019-12-30,9,1462,615.5950752394,valid
067,Luče,2020,2020-01-06,2020-12-28,23,1448,1588.3977900552,valid
067,Luče,2021,2021-01-04,2021-12-27,8,1454,550.2063273728,valid
067,Luče,2022,2022-01-03,2022-12-26,0,1455,0,valid
067,Luče,2023,2023-01-02,2023-12-25,1,1437,69.5894224078,valid
067,Luče,2024,2024-01-01,2024-12-30,0,1421,0,valid
068,Lukovica,2016,2016-01-04,2016-12-26,10,5731,174.4896178677,valid
068,Lukovica,2017,2017-01-02,2017-12-25,9,5761,156.2228779726,valid
068,Lukovica,2018,2018-01-01,2018-12-31,11,5799,189.6878772202,valid
068,Lukovica,2019,2019-01-07,2019-12-30,7,5838,119.9040767386,valid
068,Lukovica,2020,2020-01-06,2020-12-28,8,5890,135.8234295416,valid
068,Lukovica,2021,2021-01-04,2021-12-27,3,5888,50.9510869565,valid
068,Lukovica,2022,2022-01-03,2022-12-26,5,5978,83.6400133824,valid
068,Lukovica,2023,2023-01-02,2023-12-25,3,6020,49.8338870432,valid
068,Lukovica,2024,2024-01-01,2024-12-30,6,6131,97.8633175665,valid
069,Majšperk,2016,2016-01-04,2016-12-26,10,3986,250.8780732564,valid
069,Majšperk,2017,2017-01-02,2017-12-25,6,4016,149.4023904382,valid
069,Majšperk,2018,2018-01-01,2018-12-31,20,4021,497.3887092763,valid
069,Majšperk,2019,2019-01-07,2019-12-30,8,4042,197.9218208808,valid
069,Majšperk,2020,2020-01-06,2020-12-28,13,4056,320.5128205128,valid
069,Majšperk,2021,2021-01-04,2021-12-27,5,4060,123.1527093596,valid
069,Majšperk,2022,2022-01-03,2022-12-26,3,4026,74.5156482861,valid
069,Majšperk,2023,2023-01-02,2023-12-25,1,4002,24.9875062469,valid
069,Majšperk,2024,2024-01-01,2024-12-30,2,4011,49.862877088,valid
070,Maribor,2016,2016-01-04,2016-12-26,170,111832,152.013734888,valid
070,Maribor,2017,2017-01-02,2017-12-25,186,111079,167.4483925855,valid
070,Maribor,2018,2018-01-01,2018-12-31,292,110871,263.3691407131,valid
070,Maribor,2019,2019-01-07,2019-12-30,155,112065,138.3125864454,valid
070,Maribor,2020,2020-01-06,2020-12-28,181,112682,160.6290268188,valid
070,Maribor,2021,2021-01-04,2021-12-27,63,113778,55.3709856035,valid
070,Maribor,2022,2022-01-03,2022-12-26,69,113004,61.0597854943,valid
070,Maribor,2023,2023-01-02,2023-12-25,42,113000,37.1681415929,valid
070,Maribor,2024,2024-01-01,2024-12-30,72,113747,63.2983727043,valid
071,Medvode,2016,2016-01-04,2016-12-26,30,16032,187.125748503,valid
071,Medvode,2017,2017-01-02,2017-12-25,45,16236,277.1618625277,valid
071,Medvode,2018,2018-01-01,2018-12-31,64,16362,391.1502261337,valid
071,Medvode,2019,2019-01-07,2019-12-30,40,16573,241.3564230978,valid
071,Medvode,2020,2020-01-06,2020-12-28,79,16829,469.4277734862,valid
071,Medvode,2021,2021-01-04,2021-12-27,27,16811,160.6091249777,valid
071,Medvode,2022,2022-01-03,2022-12-26,15,16792,89.3282515484,valid
071,Medvode,2023,2023-01-02,2023-12-25,30,17076,175.6851721715,valid
071,Medvode,2024,2024-01-01,2024-12-30,64,17213,371.8120025562,valid
072,Mengeš,2016,2016-01-04,2016-12-26,9,7708,116.7618059159,valid
072,Mengeš,2017,2017-01-02,2017-12-25,14,7752,180.5985552116,valid
072,Mengeš,2018,2018-01-01,2018-12-31,17,7917,214.7278009347,valid
072,Mengeš,2019,2019-01-07,2019-12-30,3,8117,36.9594677837,valid
072,Mengeš,2020,2020-01-06,2020-12-28,15,8279,181.1813020896,valid
072,Mengeš,2021,2021-01-04,2021-12-27,5,8411,59.4459636191,valid
072,Mengeš,2022,2022-01-03,2022-12-26,11,8487,129.6099917521,valid
072,Mengeš,2023,2023-01-02,2023-12-25,1,8592,11.6387337058,valid
072,Mengeš,2024,2024-01-01,2024-12-30,7,8654,80.8874508898,valid
073,Metlika,2016,2016-01-04,2016-12-26,11,8382,131.2335958005,valid
073,Metlika,2017,2017-01-02,2017-12-25,10,8325,120.1201201201,valid
073,Metlika,2018,2018-01-01,2018-12-31,36,8339,431.7064396211,valid
073,Metlika,2019,2019-01-07,2019-12-30,8,8375,95.5223880597,valid
073,Metlika,2020,2020-01-06,2020-12-28,29,8470,342.3848878394,valid
073,Metlika,2021,2021-01-04,2021-12-27,18,8480,212.2641509434,valid
073,Metlika,2022,2022-01-03,2022-12-26,24,8452,283.9564600095,valid
073,Metlika,2023,2023-01-02,2023-12-25,7,8465,82.6934435913,valid
073,Metlika,2024,2024-01-01,2024-12-30,11,8439,130.3471975353,valid
074,Mežica,2016,2016-01-04,2016-12-26,9,3599,250.0694637399,valid
074,Mežica,2017,2017-01-02,2017-12-25,12,3573,335.852225021,valid
074,Mežica,2018,2018-01-01,2018-12-31,12,3541,338.8873199661,valid
074,Mežica,2019,2019-01-07,2019-12-30,7,3565,196.3534361851,valid
074,Mežica,2020,2020-01-06,2020-12-28,7,3595,194.7148817803,valid
074,Mežica,2021,2021-01-04,2021-12-27,2,3598,55.5864369094,valid
074,Mežica,2022,2022-01-03,2022-12-26,7,3567,196.2433417438,valid
074,Mežica,2023,2023-01-02,2023-12-25,1,3564,28.0583613917,valid
074,Mežica,2024,2024-01-01,2024-12-30,6,3554,168.8238604389,valid
075,Miren-Kostanjevica,2016,2016-01-04,2016-12-26,13,4825,269.4300518135,valid
075,Miren-Kostanjevica,2017,2017-01-02,2017-12-25,20,4838,413.3939644481,valid
075,Miren-Kostanjevica,2018,2018-01-01,2018-12-31,37,4858,761.6303005352,valid
075,Miren-Kostanjevica,2019,2019-01-07,2019-12-30,26,4949,525.3586583148,valid
075,Miren-Kostanjevica,2020,2020-01-06,2020-12-28,31,4977,622.8651798272,valid
075,Miren-Kostanjevica,2021,2021-01-04,2021-12-27,24,5029,477.2320540863,valid
075,Miren-Kostanjevica,2022,2022-01-03,2022-12-26,27,5072,532.334384858,valid
075,Miren-Kostanjevica,2023,2023-01-02,2023-12-25,21,5100,411.7647058824,valid
075,Miren-Kostanjevica,2024,2024-01-01,2024-12-30,5,5058,98.8533017003,valid
076,Mislinja,2016,2016-01-04,2016-12-26,4,4577,87.3934891851,valid
076,Mislinja,2017,2017-01-02,2017-12-25,9,4561,197.3251479939,valid
076,Mislinja,2018,2018-01-01,2018-12-31,23,4557,504.7180162388,valid
076,Mislinja,2019,2019-01-07,2019-12-30,5,4544,110.0352112676,valid
076,Mislinja,2020,2020-01-06,2020-12-28,14,4566,306.6141042488,valid
076,Mislinja,2021,2021-01-04,2021-12-27,3,4520,66.3716814159,valid
076,Mislinja,2022,2022-01-03,2022-12-26,7,4532,154.4571932921,valid
076,Mislinja,2023,2023-01-02,2023-12-25,3,4535,66.1521499449,valid
076,Mislinja,2024,2024-01-01,2024-12-30,7,4571,153.1393568147,valid
077,Moravče,2016,2016-01-04,2016-12-26,9,5271,170.7455890723,valid
077,Moravče,2017,2017-01-02,2017-12-25,7,5309,131.8515728009,valid
