municipality_code,municipality_name,issue_year,numerator_period_start,numerator_period_end,reported_lyme_cases,population_total_on_1_january,incidence_per_100000,denominator_status
009,Brežice,2023,2023-01-02,2023-12-25,9,24417,36.8595650571,valid
009,Brežice,2024,2024-01-01,2024-12-30,11,24450,44.9897750511,valid
010,Tišina,2016,2016-01-04,2016-12-26,7,4039,173.3102253033,valid
010,Tišina,2017,2017-01-02,2017-12-25,10,4012,249.2522432702,valid
010,Tišina,2018,2018-01-01,2018-12-31,9,3976,226.3581488934,valid
010,Tišina,2019,2019-01-07,2019-12-30,10,3952,253.036437247,valid
010,Tišina,2020,2020-01-06,2020-12-28,14,3970,352.644836272,valid
010,Tišina,2021,2021-01-04,2021-12-27,7,3965,176.5447667087,valid
010,Tišina,2022,2022-01-03,2022-12-26,0,3941,0,valid
010,Tišina,2023,2023-01-02,2023-12-25,2,3968,50.4032258065,valid
010,Tišina,2024,2024-01-01,2024-12-30,2,3948,50.6585612969,valid
011,Celje,2016,2016-01-04,2016-12-26,42,49077,85.5798031665,valid
011,Celje,2017,2017-01-02,2017-12-25,44,49380,89.1049007695,valid
011,Celje,2018,2018-01-01,2018-12-31,48,49377,97.2112522024,valid
011,Celje,2019,2019-01-07,2019-12-30,31,49473,62.6604410487,valid
011,Celje,2020,2020-01-06,2020-12-28,55,49540,111.021396851,valid
011,Celje,2021,2021-01-04,2021-12-27,9,49007,18.3647234069,valid
011,Celje,2022,2022-01-03,2022-12-26,17,48679,34.922656587,valid
011,Celje,2023,2023-01-02,2023-12-25,4,48776,8.2007544694,valid
011,Celje,2024,2024-01-01,2024-12-30,7,49289,14.2019517539,valid
012,Cerklje na Gorenjskem,2016,2016-01-04,2016-12-26,12,7506,159.8721023181,valid
012,Cerklje na Gorenjskem,2017,2017-01-02,2017-12-25,8,7569,105.6942792971,valid
012,Cerklje na Gorenjskem,2018,2018-01-01,2018-12-31,19,7619,249.3765586035,valid
012,Cerklje na Gorenjskem,2019,2019-01-07,2019-12-30,14,7632,183.4381551363,valid
012,Cerklje na Gorenjskem,2020,2020-01-06,2020-12-28,24,7769,308.9200669327,valid
012,Cerklje na Gorenjskem,2021,2021-01-04,2021-12-27,14,7859,178.1397124316,valid
012,Cerklje na Gorenjskem,2022,2022-01-03,2022-12-26,14,7901,177.1927604101,valid
012,Cerklje na Gorenjskem,2023,2023-01-02,2023-12-25,11,7854,140.056022409,valid
012,Cerklje na Gorenjskem,2024,2024-01-01,2024-12-30,9,7825,115.0159744409,valid
013,Cerknica,2016,2016-01-04,2016-12-26,43,11402,377.1268198562,valid
013,Cerknica,2017,2017-01-02,2017-12-25,28,11494,243.6053593179,valid
013,Cerknica,2018,2018-01-01,2018-12-31,67,11491,583.0650073971,valid
013,Cerknica,2019,2019-01-07,2019-12-30,16,11554,138.4801800242,valid
013,Cerknica,2020,2020-01-06,2020-12-28,68,11580,587.219343696,valid
013,Cerknica,2021,2021-01-04,2021-12-27,21,11691,179.6253528355,valid
013,Cerknica,2022,2022-01-03,2022-12-26,40,11718,341.3551800649,valid
013,Cerknica,2023,2023-01-02,2023-12-25,30,11785,254.5608824777,valid
013,Cerknica,2024,2024-01-01,2024-12-30,38,11870,320.1347935973,valid
014,Cerkno,2016,2016-01-04,2016-12-26,6,4644,129.1989664083,valid
014,Cerkno,2017,2017-01-02,2017-12-25,10,4602,217.2968274663,valid
014,Cerkno,2018,2018-01-01,2018-12-31,24,4588,523.1037489102,valid
014,Cerkno,2019,2019-01-07,2019-12-30,13,4580,283.8427947598,valid
014,Cerkno,2020,2020-01-06,2020-12-28,16,4547,351.8803606774,valid
014,Cerkno,2021,2021-01-04,2021-12-27,5,4547,109.9626127117,valid
014,Cerkno,2022,2022-01-03,2022-12-26,19,4546,417.9498460185,valid
014,Cerkno,2023,2023-01-02,2023-12-25,8,4516,177.147918512,valid
014,Cerkno,2024,2024-01-01,2024-12-30,22,4452,494.1599281222,valid
015,Črenšovci,2016,2016-01-04,2016-12-26,6,4002,149.9250374813,valid
015,Črenšovci,2017,2017-01-02,2017-12-25,7,3951,177.1703366236,valid
015,Črenšovci,2018,2018-01-01,2018-12-31,19,3926,483.9531329598,valid
015,Črenšovci,2019,2019-01-07,2019-12-30,11,3949,278.5515320334,valid
015,Črenšovci,2020,2020-01-06,2020-12-28,13,3968,327.6209677419,valid
015,Črenšovci,2021,2021-01-04,2021-12-27,3,3972,75.5287009063,valid
015,Črenšovci,2022,2022-01-03,2022-12-26,4,3982,100.4520341537,valid
015,Črenšovci,2023,2023-01-02,2023-12-25,6,3935,152.4777636595,valid
015,Črenšovci,2024,2024-01-01,2024-12-30,1,3928,25.4582484725,valid
016,Črna na Koroškem,2016,2016-01-04,2016-12-26,5,3337,149.8351813006,valid
016,Črna na Koroškem,2017,2017-01-02,2017-12-25,8,3308,241.8379685611,valid
016,Črna na Koroškem,2018,2018-01-01,2018-12-31,4,3314,120.70006035,valid
016,Črna na Koroškem,2019,2019-01-07,2019-12-30,0,3303,0,valid
016,Črna na Koroškem,2020,2020-01-06,2020-12-28,5,3285,152.2070015221,valid
016,Črna na Koroškem,2021,2021-01-04,2021-12-27,2,3252,61.5006150062,valid
016,Črna na Koroškem,2022,2022-01-03,2022-12-26,6,3201,187.4414245548,valid
016,Črna na Koroškem,2023,2023-01-02,2023-12-25,1,3193,31.318509239,valid
016,Črna na Koroškem,2024,2024-01-01,2024-12-30,4,3061,130.6762495916,valid
017,Črnomelj,2016,2016-01-04,2016-12-26,58,14407,402.5820781565,valid
017,Črnomelj,2017,2017-01-02,2017-12-25,67,14365,466.4114166377,valid
017,Črnomelj,2018,2018-01-01,2018-12-31,75,14313,523.9991616013,valid
017,Črnomelj,2019,2019-01-07,2019-12-30,17,14299,118.8894328275,valid
017,Črnomelj,2020,2020-01-06,2020-12-28,41,14241,287.9011305386,valid
017,Črnomelj,2021,2021-01-04,2021-12-27,26,14308,181.7165222253,valid
017,Črnomelj,2022,2022-01-03,2022-12-26,27,14279,189.0888717697,valid
017,Črnomelj,2023,2023-01-02,2023-12-25,16,14236,112.3911211014,valid
017,Črnomelj,2024,2024-01-01,2024-12-30,24,14232,168.6340640809,valid
018,Destrnik,2016,2016-01-04,2016-12-26,5,2539,196.9279243797,valid
018,Destrnik,2017,2017-01-02,2017-12-25,9,2544,353.7735849057,valid
018,Destrnik,2018,2018-01-01,2018-12-31,6,2554,234.9256068912,valid
018,Destrnik,2019,2019-01-07,2019-12-30,6,2585,232.1083172147,valid
018,Destrnik,2020,2020-01-06,2020-12-28,11,2643,416.1937192584,valid
018,Destrnik,2021,2021-01-04,2021-12-27,3,2647,113.3358519078,valid
018,Destrnik,2022,2022-01-03,2022-12-26,3,2632,113.9817629179,valid
018,Destrnik,2023,2023-01-02,2023-12-25,5,2641,189.3222264294,valid
018,Destrnik,2024,2024-01-01,2024-12-30,9,2694,334.0757238307,valid
019,Divača,2016,2016-01-04,2016-12-26,13,3955,328.6978508217,valid
019,Divača,2017,2017-01-02,2017-12-25,9,4000,225,valid
019,Divača,2018,2018-01-01,2018-12-31,9,4085,220.3182374541,valid
019,Divača,2019,2019-01-07,2019-12-30,4,4157,96.223237912,valid
019,Divača,2020,2020-01-06,2020-12-28,6,4213,142.4163304059,valid
019,Divača,2021,2021-01-04,2021-12-27,4,4334,92.2934933087,valid
019,Divača,2022,2022-01-03,2022-12-26,2,4371,45.756119881,valid
019,Divača,2023,2023-01-02,2023-12-25,2,4443,45.0146297547,valid
019,Divača,2024,2024-01-01,2024-12-30,3,4501,66.6518551433,valid
020,Dobrepolje,2016,2016-01-04,2016-12-26,4,3898,102.6167265264,valid
020,Dobrepolje,2017,2017-01-02,2017-12-25,16,3870,413.4366925065,valid
020,Dobrepolje,2018,2018-01-01,2018-12-31,18,3881,463.7979902087,valid
020,Dobrepolje,2019,2019-01-07,2019-12-30,5,3856,129.6680497925,valid
020,Dobrepolje,2020,2020-01-06,2020-12-28,10,3878,257.8648788035,valid
020,Dobrepolje,2021,2021-01-04,2021-12-27,6,3882,154.5595054096,valid
020,Dobrepolje,2022,2022-01-03,2022-12-26,11,3871,284.1642986308,valid
020,Dobrepolje,2023,2023-01-02,2023-12-25,6,3923,152.944175376,valid
020,Dobrepolje,2024,2024-01-01,2024-12-30,11,3934,279.6136248094,valid
021,Dobrova-Polhov Gradec,2016,2016-01-04,2016-12-26,22,7582,290.1609074123,valid
021,Dobrova-Polhov Gradec,2017,2017-01-02,2017-12-25,31,7618,406.930953006,valid
021,Dobrova-Polhov Gradec,2018,2018-01-01,2018-12-31,65,7661,848.4532045425,valid
021,Dobrova-Polhov Gradec,2019,2019-01-07,2019-12-30,32,7664,417.5365344468,valid
021,Dobrova-Polhov Gradec,2020,2020-01-06,2020-12-28,69,7800,884.6153846154,valid
021,Dobrova-Polhov Gradec,2021,2021-01-04,2021-12-27,27,7843,344.2560244804,valid
021,Dobrova-Polhov Gradec,2022,2022-01-03,2022-12-26,53,7844,675.6756756757,valid
021,Dobrova-Polhov Gradec,2023,2023-01-02,2023-12-25,25,7946,314.6237100428,valid
021,Dobrova-Polhov Gradec,2024,2024-01-01,2024-12-30,31,8039,385.6201020027,valid
022,Dol pri Ljubljani,2016,2016-01-04,2016-12-26,14,5934,235.9285473542,valid
022,Dol pri Ljubljani,2017,2017-01-02,2017-12-25,9,5961,150.9813789633,valid
022,Dol pri Ljubljani,2018,2018-01-01,2018-12-31,26,6008,432.7563249001,valid
022,Dol pri Ljubljani,2019,2019-01-07,2019-12-30,12,6218,192.9880990672,valid
022,Dol pri Ljubljani,2020,2020-01-06,2020-12-28,24,6310,380.3486529319,valid
022,Dol pri Ljubljani,2021,2021-01-04,2021-12-27,8,6378,125.4311696457,valid
022,Dol pri Ljubljani,2022,2022-01-03,2022-12-26,19,6348,299.306868305,valid
022,Dol pri Ljubljani,2023,2023-01-02,2023-12-25,11,6352,173.1738035264,valid
022,Dol pri Ljubljani,2024,2024-01-01,2024-12-30,13,6432,202.1144278607,valid
023,Domžale,2016,2016-01-04,2016-12-26,36,35278,102.0466012813,valid
023,Domžale,2017,2017-01-02,2017-12-25,55,35513,154.8728634585,valid
023,Domžale,2018,2018-01-01,2018-12-31,69,35675,193.4127540294,valid
023,Domžale,2019,2019-01-07,2019-12-30,26,36264,71.6964482683,valid
023,Domžale,2020,2020-01-06,2020-12-28,53,36675,144.5126107703,valid
023,Domžale,2021,2021-01-04,2021-12-27,20,36683,54.5211678434,valid
023,Domžale,2022,2022-01-03,2022-12-26,28,36905,75.870478255,valid
023,Domžale,2023,2023-01-02,2023-12-25,23,37477,61.3709741975,valid
023,Domžale,2024,2024-01-01,2024-12-30,35,37821,92.5411808255,valid
024,Dornava,2016,2016-01-04,2016-12-26,7,2882,242.8868841083,valid
024,Dornava,2017,2017-01-02,2017-12-25,4,2905,137.6936316695,valid
024,Dornava,2018,2018-01-01,2018-12-31,8,2885,277.2963604853,valid
024,Dornava,2019,2019-01-07,2019-12-30,2,2892,69.1562932227,valid
024,Dornava,2020,2020-01-06,2020-12-28,6,2902,206.7539627843,valid
024,Dornava,2021,2021-01-04,2021-12-27,0,2896,0,valid
024,Dornava,2022,2022-01-03,2022-12-26,3,2880,104.1666666667,valid
024,Dornava,2023,2023-01-02,2023-12-25,1,2902,34.4589937974,valid
024,Dornava,2024,2024-01-01,2024-12-30,1,2891,34.5901072293,valid
025,Dravograd,2016,2016-01-04,2016-12-26,28,8885,315.1378728194,valid
025,Dravograd,2017,2017-01-02,2017-12-25,27,8856,304.8780487805,valid
