municipality_code,municipality_name,year,population_total_on_1_january,denominator_status
021,Dobrova-Polhov Gradec,2017,7618,valid
021,Dobrova-Polhov Gradec,2018,7661,valid
021,Dobrova-Polhov Gradec,2019,7664,valid
021,Dobrova-Polhov Gradec,2020,7800,valid
021,Dobrova-Polhov Gradec,2021,7843,valid
021,Dobrova-Polhov Gradec,2022,7844,valid
021,Dobrova-Polhov Gradec,2023,7946,valid
021,Dobrova-Polhov Gradec,2024,8039,valid
022,Dol pri Ljubljani,2016,5934,valid
022,Dol pri Ljubljani,2017,5961,valid
022,Dol pri Ljubljani,2018,6008,valid
022,Dol pri Ljubljani,2019,6218,valid
022,Dol pri Ljubljani,2020,6310,valid
022,Dol pri Ljubljani,2021,6378,valid
022,Dol pri Ljubljani,2022,6348,valid
022,Dol pri Ljubljani,2023,6352,valid
022,Dol pri Ljubljani,2024,6432,valid
023,Domžale,2016,35278,valid
023,Domžale,2017,35513,valid
023,Domžale,2018,35675,valid
023,Domžale,2019,36264,valid
023,Domžale,2020,36675,valid
023,Domžale,2021,36683,valid
023,Domžale,2022,36905,valid
023,Domžale,2023,37477,valid
023,Domžale,2024,37821,valid
024,Dornava,2016,2882,valid
024,Dornava,2017,2905,valid
024,Dornava,2018,2885,valid
024,Dornava,2019,2892,valid
024,Dornava,2020,2902,valid
024,Dornava,2021,2896,valid
024,Dornava,2022,2880,valid
024,Dornava,2023,2902,valid
024,Dornava,2024,2891,valid
025,Dravograd,2016,8885,valid
025,Dravograd,2017,8856,valid
025,Dravograd,2018,8799,valid
025,Dravograd,2019,8783,valid
025,Dravograd,2020,8884,valid
025,Dravograd,2021,8844,valid
025,Dravograd,2022,8882,valid
025,Dravograd,2023,8862,valid
025,Dravograd,2024,8815,valid
026,Duplek,2016,6726,valid
026,Duplek,2017,6803,valid
026,Duplek,2018,6890,valid
026,Duplek,2019,6937,valid
026,Duplek,2020,6996,valid
026,Duplek,2021,6959,valid
026,Duplek,2022,7015,valid
026,Duplek,2023,7046,valid
026,Duplek,2024,6999,valid
027,Gorenja vas-Poljane,2016,7429,valid
027,Gorenja vas-Poljane,2017,7500,valid
027,Gorenja vas-Poljane,2018,7541,valid
027,Gorenja vas-Poljane,2019,7539,valid
027,Gorenja vas-Poljane,2020,7557,valid
027,Gorenja vas-Poljane,2021,7665,valid
027,Gorenja vas-Poljane,2022,7672,valid
027,Gorenja vas-Poljane,2023,7646,valid
027,Gorenja vas-Poljane,2024,7656,valid
028,Gorišnica,2016,3978,valid
028,Gorišnica,2017,3968,valid
028,Gorišnica,2018,4025,valid
028,Gorišnica,2019,4069,valid
028,Gorišnica,2020,4112,valid
028,Gorišnica,2021,4161,valid
028,Gorišnica,2022,4180,valid
028,Gorišnica,2023,4182,valid
028,Gorišnica,2024,4188,valid
029,Gornja Radgona,2016,8467,valid
029,Gornja Radgona,2017,8447,valid
029,Gornja Radgona,2018,8403,valid
029,Gornja Radgona,2019,8392,valid
029,Gornja Radgona,2020,8417,valid
029,Gornja Radgona,2021,8474,valid
029,Gornja Radgona,2022,8476,valid
029,Gornja Radgona,2023,8489,valid
029,Gornja Radgona,2024,8503,valid
030,Gornji Grad,2016,2547,valid
030,Gornji Grad,2017,2547,valid
030,Gornji Grad,2018,2543,valid
030,Gornji Grad,2019,2511,valid
030,Gornji Grad,2020,2476,valid
030,Gornji Grad,2021,2480,valid
030,Gornji Grad,2022,2552,valid
030,Gornji Grad,2023,2559,valid
030,Gornji Grad,2024,2595,valid
031,Gornji Petrovci,2016,2057,valid
031,Gornji Petrovci,2017,2058,valid
031,Gornji Petrovci,2018,2013,valid
031,Gornji Petrovci,2019,1985,valid
031,Gornji Petrovci,2020,1995,valid
031,Gornji Petrovci,2021,2040,valid
031,Gornji Petrovci,2022,2010,valid
031,Gornji Petrovci,2023,1982,valid
031,Gornji Petrovci,2024,2002,valid
032,Grosuplje,2016,20059,valid
032,Grosuplje,2017,20284,valid
032,Grosuplje,2018,20672,valid
032,Grosuplje,2019,21013,valid
032,Grosuplje,2020,21314,valid
032,Grosuplje,2021,21398,valid
032,Grosuplje,2022,21333,valid
032,Grosuplje,2023,21587,valid
032,Grosuplje,2024,21870,valid
033,Šalovci,2016,1437,valid
033,Šalovci,2017,1430,valid
033,Šalovci,2018,1411,valid
033,Šalovci,2019,1392,valid
033,Šalovci,2020,1380,valid
033,Šalovci,2021,1388,valid
033,Šalovci,2022,1372,valid
033,Šalovci,2023,1369,valid
033,Šalovci,2024,1334,valid
034,Hrastnik,2016,9316,valid
034,Hrastnik,2017,9269,valid
034,Hrastnik,2018,9188,valid
034,Hrastnik,2019,9154,valid
034,Hrastnik,2020,9113,valid
034,Hrastnik,2021,9058,valid
034,Hrastnik,2022,8963,valid
034,Hrastnik,2023,8967,valid
034,Hrastnik,2024,8939,valid
035,Hrpelje-Kozina,2016,4366,valid
035,Hrpelje-Kozina,2017,4371,valid
035,Hrpelje-Kozina,2018,4402,valid
035,Hrpelje-Kozina,2019,4467,valid
035,Hrpelje-Kozina,2020,4604,valid
035,Hrpelje-Kozina,2021,4851,valid
035,Hrpelje-Kozina,2022,4970,valid
035,Hrpelje-Kozina,2023,5131,valid
035,Hrpelje-Kozina,2024,5181,valid
036,Idrija,2016,11927,valid
036,Idrija,2017,11800,valid
036,Idrija,2018,11757,valid
036,Idrija,2019,11748,valid
036,Idrija,2020,11811,valid
036,Idrija,2021,11735,valid
036,Idrija,2022,11729,valid
036,Idrija,2023,11757,valid
036,Idrija,2024,11706,valid
037,Ig,2016,7163,valid
037,Ig,2017,7277,valid
037,Ig,2018,7366,valid
037,Ig,2019,7463,valid
037,Ig,2020,7617,valid
037,Ig,2021,7656,valid
037,Ig,2022,7695,valid
037,Ig,2023,7718,valid
037,Ig,2024,7793,valid
038,Ilirska Bistrica,2016,13594,valid
038,Ilirska Bistrica,2017,13482,valid
038,Ilirska Bistrica,2018,13329,valid
038,Ilirska Bistrica,2019,13340,valid
038,Ilirska Bistrica,2020,13297,valid
038,Ilirska Bistrica,2021,13379,valid
038,Ilirska Bistrica,2022,13399,valid
038,Ilirska Bistrica,2023,13362,valid
038,Ilirska Bistrica,2024,13313,valid
039,Ivančna Gorica,2016,16182,valid
039,Ivančna Gorica,2017,16361,valid
039,Ivančna Gorica,2018,16544,valid
039,Ivančna Gorica,2019,16793,valid
039,Ivančna Gorica,2020,17008,valid
