municipality_code,week_start,week_end,weather_status,source_hour_count,minimum_present_hours,t2m_mean_c,d2m_mean_c,tp_sum_mm,stl1_mean_c,stl2_mean_c,swvl1_mean_m3_m3,swvl2_mean_m3_m3
075,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
076,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
077,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
078,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
079,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
080,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
081,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
082,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
083,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
084,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
085,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
086,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
087,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
088,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
089,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
090,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
091,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
092,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
093,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
094,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
095,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
096,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
097,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
098,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
099,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
100,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
101,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
102,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
103,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
104,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
105,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
106,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
107,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
108,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
109,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
110,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
111,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
112,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
113,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
114,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
115,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
116,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
117,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
118,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
119,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
120,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
121,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
122,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
123,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
124,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
125,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
126,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
