model_name,alpha,validation_year,fold_rmse,mean_fold_rmse
kme_prevalence,0.1,2023,10.586854062443448,10.995421257531568
kme_prevalence,0.1,2024,11.403988452619686,10.995421257531568
kme_prevalence,1.0,2023,13.813683046626082,12.162547771095156
kme_prevalence,1.0,2024,10.511412495564231,12.162547771095156
kme_prevalence,10.0,2023,14.486918594957574,11.368696312710844
kme_prevalence,10.0,2024,8.250474030464114,11.368696312710844
kme_prevalence,100.0,2023,13.612411536636307,10.851742908149319
kme_prevalence,100.0,2024,8.091074279662331,10.851742908149319
kme_prevalence,1000.0,2023,15.287260729118284,12.83342823965678
kme_prevalence,1000.0,2024,10.379595750195277,12.83342823965678
