model_name,alpha,validation_year,fold_rmse,mean_fold_rmse
lyme_prevalence,0.1,2023,690.6364467656098,521.2039940130065
lyme_prevalence,0.1,2024,351.77154126040324,521.2039940130065
lyme_prevalence,1.0,2023,669.2306103778451,497.45516836000627
lyme_prevalence,1.0,2024,325.6797263421674,497.45516836000627
lyme_prevalence,10.0,2023,546.8767901894737,384.0955981678943
lyme_prevalence,10.0,2024,221.31440614631487,384.0955981678943
lyme_prevalence,100.0,2023,369.0062173302495,247.5359916658651
lyme_prevalence,100.0,2024,126.06576600148072,247.5359916658651
lyme_prevalence,1000.0,2023,352.6593787705942,264.20766686967255
lyme_prevalence,1000.0,2024,175.75595496875093,264.20766686967255
