model_name,alpha,validation_year,fold_rmse,mean_fold_rmse
kme_prevalence,0.0,2021,238.71885656981314,190.07182059872943
kme_prevalence,0.0,2022,229.80167882920205,190.07182059872943
kme_prevalence,0.0,2023,101.69492639717312,190.07182059872943
kme_prevalence,0.1,2021,236.62263172241148,166.94415330427236
kme_prevalence,0.1,2022,211.15870087843075,166.94415330427236
kme_prevalence,0.1,2023,53.05112731197483,166.94415330427236
kme_prevalence,1.0,2021,221.42494848735345,134.36157623039188
kme_prevalence,1.0,2022,141.96463389138844,134.36157623039188
kme_prevalence,1.0,2023,39.69514631243373,134.36157623039188
kme_prevalence,10.0,2021,172.88904707569716,93.33774701985904
kme_prevalence,10.0,2022,46.78506644594022,93.33774701985904
kme_prevalence,10.0,2023,60.33912753793977,93.33774701985904
kme_prevalence,100.0,2021,145.22269724432246,79.40308206272017
kme_prevalence,100.0,2022,3.3709657556192827,79.40308206272017
kme_prevalence,100.0,2023,89.61558318821879,79.40308206272017
