model_name,alpha,validation_year,fold_rmse,mean_fold_rmse
lyme_prevalence,0.0,2023,893.9700091713047,805.6115627290367
lyme_prevalence,0.0,2024,717.2531162867687,805.6115627290367
lyme_prevalence,0.1,2023,849.5515275204142,779.7153410624513
lyme_prevalence,0.1,2024,709.8791546044885,779.7153410624513
lyme_prevalence,1.0,2023,771.9903887849058,737.6808623804927
lyme_prevalence,1.0,2024,703.3713359760798,737.6808623804927
lyme_prevalence,10.0,2023,652.4262122292732,644.3534067007878
lyme_prevalence,10.0,2024,636.2806011723023,644.3534067007878
lyme_prevalence,100.0,2023,497.63931171062467,473.0033360819216
lyme_prevalence,100.0,2024,448.3673604532185,473.0033360819216
