model_name,alpha,validation_year,fold_rmse,mean_fold_rmse
kme_prevalence,0.0,2023,5.990884353763661,9.19994375001545
kme_prevalence,0.0,2024,12.40900314626724,9.19994375001545
kme_prevalence,0.1,2023,5.578692348474883,8.91618592763161
kme_prevalence,0.1,2024,12.253679506788338,8.91618592763161
kme_prevalence,1.0,2023,6.3712128335075615,8.638739290742205
kme_prevalence,1.0,2024,10.90626574797685,8.638739290742205
kme_prevalence,10.0,2023,9.929849380816348,9.636203538460283
kme_prevalence,10.0,2024,9.342557696104219,9.636203538460283
kme_prevalence,100.0,2023,12.957322218377907,10.396677289367616
kme_prevalence,100.0,2024,7.836032360357327,10.396677289367616
