scenario_family,year,air_temperature_c_mean_climate,near_surface_specific_humidity_g_kg_climate,precipitation_sum_mm_proxy_climate,soil_moisture_upper_portion_kg_m2_climate,air_temperature_c_mean_climate_anomaly_vs_2016_2025,near_surface_specific_humidity_g_kg_climate_anomaly_vs_2016_2025,precipitation_sum_mm_proxy_climate_anomaly_vs_2016_2025,soil_moisture_upper_portion_kg_m2_climate_anomaly_vs_2016_2025,lyme_cases,kme_cases,tick_borne_cases_total,lyme_cases_per_100k,kme_cases_per_100k,tick_borne_cases_total_per_100k,lyme_cases_lag_1y,lyme_cases_lag_2y,lyme_cases_lag_3y,lyme_cases_rolling_3y_mean,kme_cases_lag_1y,kme_cases_lag_2y,kme_cases_lag_3y,kme_cases_rolling_3y_mean,tick_borne_cases_total_lag_1y,tick_borne_cases_total_lag_2y,tick_borne_cases_total_lag_3y,tick_borne_cases_total_rolling_3y_mean,lyme_cases_per_100k_lag_1y,lyme_cases_per_100k_lag_2y,lyme_cases_per_100k_lag_3y,lyme_cases_per_100k_rolling_3y_mean,kme_cases_per_100k_lag_1y,kme_cases_per_100k_lag_2y,kme_cases_per_100k_lag_3y,kme_cases_per_100k_rolling_3y_mean,tick_borne_cases_total_per_100k_lag_1y,tick_borne_cases_total_per_100k_lag_2y,tick_borne_cases_total_per_100k_lag_3y,tick_borne_cases_total_per_100k_rolling_3y_mean,table_role,target_available,projection_horizon_years_from_2025
high_emissions,2026,10.207236061493555,6.302066683769226,1197.8292336463928,27.59611924489339,-0.0273185312747958,0.028332072496414,19.86809381246576,-0.1791575908660867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,1
high_emissions,2027,10.223426754275955,6.341887990633647,1259.5869834423063,27.896540641784668,-0.0111278384923938,0.0681533793608348,81.62584360837945,0.1212638060251904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,2
high_emissions,2028,10.36088932553927,6.240639686584473,1100.7495918273926,27.75784985224406,0.1263347327709194,-0.0330949246883394,-77.21154800653449,-0.017426983515417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,3
high_emissions,2029,10.48858850200971,6.419602433840434,1181.1754195690155,28.35940678914388,0.2540339092413592,0.1458678225676219,3.21427973508844,0.5841299533844015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,4
high_emissions,2030,10.110958206156887,6.327145934104919,1282.0939960479736,27.71572271982829,-0.123596386611462,0.0534113228321073,104.13285621404656,-0.0595541159311885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,5
high_emissions,2031,10.102949192126593,6.309604942798615,1197.5707757472992,27.349661350250244,-0.1316054006417584,0.0358703315258024,19.60963591337213,-0.4256154855092333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,6
high_emissions,2032,10.805292069911957,6.477516353130341,1223.4363033771515,27.34124533335368,0.5707374771436058,0.2037817418575285,45.475163543224426,-0.4340315024057979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,7
high_emissions,2033,10.569158904254436,6.399744172890981,1166.6217470169067,27.461990038553875,0.3346043114860855,0.1260095616181686,-11.339392817020324,-0.3132867972056026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,8
high_emissions,2034,10.860503688454628,6.553859810034434,1197.8768966197968,26.533159573872883,0.625949095686277,0.2801251987616222,19.91575678586969,-1.2421172618865943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,9
high_emissions,2035,10.623242149750393,6.391568144162496,1150.7629868984222,27.256088733673096,0.38868755698204,0.1178335328896835,-27.198152935504822,-0.5191881020863818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,10
high_emissions,2036,10.470181316137314,6.426359792550405,1186.500717163086,27.446877320607506,0.2356267233689628,0.1526251812775925,8.539577329158874,-0.3283995151519754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,11
high_emissions,2037,10.657737255096436,6.544832567373912,1283.6434063911438,26.922243277231853,0.4231826623280845,0.2710979561010997,105.68226655721674,-0.8530335585276241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,12
high_emissions,2038,10.804747904340426,6.520853122075399,1196.1011831760406,26.82978852589925,0.5701933115720745,0.2471185108025864,18.140043342113582,-0.9454883098602274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,13
high_emissions,2039,11.130708595116934,6.639914890130361,1257.193800449371,26.75633144378662,0.8961540023485828,0.3661802788575485,79.23266061544427,-1.0189453919728564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,14
high_emissions,2040,10.989562590916952,6.489535748958588,1154.7144169807434,27.49416303634644,0.7550079981486011,0.2158011376857755,-23.246722853183652,-0.2811137994130419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,15
