model_name,alpha,validation_year,fold_rmse,mean_fold_rmse
combined_prevalence,0.1,2023,696.5186303665192,528.0999841615305
combined_prevalence,0.1,2024,359.68133795654194,528.0999841615305
combined_prevalence,1.0,2023,680.4706065389805,506.76660373659587
combined_prevalence,1.0,2024,333.0626009342112,506.76660373659587
combined_prevalence,10.0,2023,559.6538988010021,392.7308898057689
combined_prevalence,10.0,2024,225.80788081053575,392.7308898057689
combined_prevalence,100.0,2023,382.18692049659325,256.34451012445453
combined_prevalence,100.0,2024,130.50209975231581,256.34451012445453
combined_prevalence,1000.0,2023,367.3288318265306,275.2908090562016
combined_prevalence,1000.0,2024,183.25278628587262,275.2908090562016
