fold_id,validation_iso_year,candidate_id,n_predictions,mae,rmse,mean_poisson_deviance,poisson_deviance_status
tick_borne_2018,2018,baseline_region_historical_rate,528,75.25762688981312,127.71004531213917,101.80519443289225,valid
tick_borne_2018,2018,baseline_persistence_8w,528,92.40530303030303,143.96455003460633,142.58578527829408,valid
tick_borne_2018,2018,glm_seasonal_region_offset,528,51.306577720457284,90.26046896936339,38.87908314820147,valid
tick_borne_2018,2018,glm_past_combined_offset,528,63.92221792997459,109.50014166623009,75.44750383094087,valid
tick_borne_2018,2018,glm_weather_only_offset,528,68.85853403884036,113.03325801844878,88.3800981349764,valid
tick_borne_2018,2018,glm_seasonal_region_weather_offset,528,49.83072569992849,87.78156870449334,36.7176642388666,valid
tick_borne_2018,2018,glm_combined_weather_offset,528,61.227105155817355,104.87272101565344,66.76792158873997,valid
tick_borne_2018,2018,catboost_combined_weather_offset,528,49.75184065329964,88.71060702679986,36.00939889930431,valid
tick_borne_2019,2019,baseline_region_historical_rate,528,37.82245265326032,52.04380364331115,29.717167756607537,valid
tick_borne_2019,2019,baseline_persistence_8w,528,37.60037878787879,58.30960015037807,38.7069260283642,valid
tick_borne_2019,2019,glm_seasonal_region_offset,528,29.822033812305683,44.596693919951576,15.529430631403567,valid
tick_borne_2019,2019,glm_past_combined_offset,528,27.65360954387641,41.08104634409683,14.215643462162243,valid
tick_borne_2019,2019,glm_weather_only_offset,528,40.543899998417615,59.19497972007667,31.50575519661951,valid
tick_borne_2019,2019,glm_seasonal_region_weather_offset,528,28.56399918048963,43.83046434486988,14.74333535176109,valid
tick_borne_2019,2019,glm_combined_weather_offset,528,28.062208246088765,42.99527125669493,14.38234108296813,valid
tick_borne_2019,2019,catboost_combined_weather_offset,528,23.07309742754002,39.67122304527705,11.317171785677287,valid
tick_borne_2020,2020,baseline_region_historical_rate,540,76.31266721324164,129.14215895780595,97.1379214182431,valid
tick_borne_2020,2020,baseline_persistence_8w,540,93.16481481481482,149.25916436905356,131.28626585985188,valid
tick_borne_2020,2020,glm_seasonal_region_offset,540,39.78180367232009,79.46385599374783,26.03554039573406,valid
tick_borne_2020,2020,glm_past_combined_offset,540,35.389549384173705,73.1865839946939,21.515162980836898,valid
tick_borne_2020,2020,glm_weather_only_offset,540,81.38496969692673,138.48679556397823,128.32115832397452,valid
tick_borne_2020,2020,glm_seasonal_region_weather_offset,540,50.80868225067047,102.65416846308301,48.12479227031707,valid
tick_borne_2020,2020,glm_combined_weather_offset,540,48.132330026413875,98.72129263965877,43.69594405601356,valid
tick_borne_2020,2020,catboost_combined_weather_offset,540,38.94161277827963,77.11123007621421,25.992803051065742,valid
tick_borne_2021,2021,baseline_region_historical_rate,528,40.86530153611257,56.30025418461692,38.09046595317266,valid
tick_borne_2021,2021,baseline_persistence_8w,528,28.10037878787879,45.70000580200215,29.469631888369655,valid
tick_borne_2021,2021,glm_seasonal_region_offset,528,45.03685423119043,67.89176950499252,33.76923294996677,valid
tick_borne_2021,2021,glm_past_combined_offset,528,38.60421094040381,57.80484027992354,27.264681635064505,valid
tick_borne_2021,2021,glm_weather_only_offset,528,39.65120724805976,58.96315588551457,36.35825549533193,valid
tick_borne_2021,2021,glm_seasonal_region_weather_offset,528,41.535719856829,61.78121118598471,30.017140176886087,valid
tick_borne_2021,2021,glm_combined_weather_offset,528,36.474084642619644,54.0072638301082,25.202890863546454,valid
tick_borne_2021,2021,catboost_combined_weather_offset,528,29.23702342202722,48.67430999755398,18.30877983596643,valid
tick_borne_2022,2022,baseline_region_historical_rate,528,44.77073621971439,65.572903347103,42.668428163034264,valid
tick_borne_2022,2022,baseline_persistence_8w,528,48.06060606060606,82.03740831862233,,invalid_pairs_present
tick_borne_2022,2022,glm_seasonal_region_offset,528,28.50086210339057,41.41365924662322,17.876542662257105,valid
tick_borne_2022,2022,glm_past_combined_offset,528,27.716404652192608,39.80864291393455,17.017132638332864,valid
tick_borne_2022,2022,glm_weather_only_offset,528,44.98190691339113,67.00589336024414,44.54533292466703,valid
tick_borne_2022,2022,glm_seasonal_region_weather_offset,528,25.908647588613952,39.92062417924858,16.59688824209925,valid
tick_borne_2022,2022,glm_combined_weather_offset,528,25.946684188323072,38.507885618850935,15.967136865417281,valid
tick_borne_2022,2022,catboost_combined_weather_offset,528,19.258348932385605,29.774775350125147,8.996023822641229,valid
tick_borne_2023,2023,baseline_region_historical_rate,528,35.902993901821716,48.31812313356943,34.262909339860435,valid
tick_borne_2023,2023,baseline_persistence_8w,528,24.299242424242426,40.85821752590217,,invalid_pairs_present
tick_borne_2023,2023,glm_seasonal_region_offset,528,39.05289271133195,55.75685728808808,29.554467923936247,valid
tick_borne_2023,2023,glm_past_combined_offset,528,31.716309699339547,44.62337401953578,21.893445635342133,valid
tick_borne_2023,2023,glm_weather_only_offset,528,44.72944295321455,68.61357361804914,45.296483062803986,valid
tick_borne_2023,2023,glm_seasonal_region_weather_offset,528,44.63433467874348,62.99293373644152,35.731854204940305,valid
tick_borne_2023,2023,glm_combined_weather_offset,528,36.41687223142599,50.89812380567015,26.731264650789992,valid
tick_borne_2023,2023,catboost_combined_weather_offset,528,21.943537540331626,37.752931196006394,13.25825384370771,valid
tick_borne_2024,2024,baseline_region_historical_rate,528,34.51631027725096,48.2942662279969,29.312569074489698,valid
tick_borne_2024,2024,baseline_persistence_8w,528,33.59280303030303,57.36104752118176,,invalid_pairs_present
tick_borne_2024,2024,glm_seasonal_region_offset,528,26.222683566690506,38.377530651910476,17.484390221917575,valid
tick_borne_2024,2024,glm_past_combined_offset,528,21.89959713708702,31.444654871496716,13.612594129065132,valid
tick_borne_2024,2024,glm_weather_only_offset,528,37.81982219897825,52.73678731920657,34.45205486181697,valid
tick_borne_2024,2024,glm_seasonal_region_weather_offset,528,30.299900412987757,43.158057996989186,20.259833432294176,valid
tick_borne_2024,2024,glm_combined_weather_offset,528,25.31406124478467,35.54355727419928,15.61625295834134,valid
tick_borne_2024,2024,catboost_combined_weather_offset,528,19.79354502047937,31.177322596607276,9.99935890663425,valid
tick_borne_2025,2025,baseline_region_historical_rate,528,40.28971664122786,66.92983918961762,36.83624578638743,valid
tick_borne_2025,2025,baseline_persistence_8w,528,44.503787878787875,75.46836081993888,,invalid_pairs_present
tick_borne_2025,2025,glm_seasonal_region_offset,528,22.926906058350482,31.199791182817314,13.438646720670436,valid
tick_borne_2025,2025,glm_past_combined_offset,528,23.44853042225191,31.73575613319865,14.480454282017027,valid
tick_borne_2025,2025,glm_weather_only_offset,528,36.08018999620138,60.92341239403422,31.68536406107283,valid
tick_borne_2025,2025,glm_seasonal_region_weather_offset,528,23.743889626737538,33.617023744027414,14.429831680464918,valid
tick_borne_2025,2025,glm_combined_weather_offset,528,24.194895732291023,32.912724821318484,15.125243354807726,valid
tick_borne_2025,2025,catboost_combined_weather_offset,528,20.144657826659824,31.01755475690786,10.959085171861215,valid
