fold_id,validation_iso_year,candidate_id,n_train,n_validation,n_parameters_or_features,converged,iterations,warning_count,warning_messages,train_target_end_max,validation_start,training_scaler_means,training_scaler_standard_deviations
tick_borne_2021,2021,glm_seasonal_region_weather_offset,2832,528,18,true,6,0,,2020-12-28,2021-01-04,"{""stl1_mean_c_previous_4w_mean"": 11.201725864501533, ""swvl1_mean_m3_m3_previous_4w_mean"": 0.3599922050368794, ""t2m_mean_c_previous_4w_mean"": 11.123943320736206, ""tp_sum_mm_previous_4w_sum"": 102.93642024934935}","{""stl1_mean_c_previous_4w_mean"": 7.115095691482638, ""swvl1_mean_m3_m3_previous_4w_mean"": 0.03044275954850183, ""t2m_mean_c_previous_4w_mean"": 7.3658579530110115, ""tp_sum_mm_previous_4w_sum"": 58.9422082027399}"
tick_borne_2021,2021,glm_combined_weather_offset,2832,528,19,true,6,0,,2020-12-28,2021-01-04,"{""past_8w_reported_lyme_plus_kme_incidence_per_100000"": 47.98486414392189, ""stl1_mean_c_previous_4w_mean"": 11.201725864501533, ""swvl1_mean_m3_m3_previous_4w_mean"": 0.3599922050368794, ""t2m_mean_c_previous_4w_mean"": 11.123943320736206, ""tp_sum_mm_previous_4w_sum"": 102.93642024934935}","{""past_8w_reported_lyme_plus_kme_incidence_per_100000"": 49.54332927401426, ""stl1_mean_c_previous_4w_mean"": 7.115095691482638, ""swvl1_mean_m3_m3_previous_4w_mean"": 0.03044275954850183, ""t2m_mean_c_previous_4w_mean"": 7.3658579530110115, ""tp_sum_mm_previous_4w_sum"": 58.9422082027399}"
tick_borne_2021,2021,catboost_combined_weather_offset,2832,528,8,true,200,0,,2020-12-28,2021-01-04,not_applicable,not_applicable
tick_borne_2022,2022,glm_seasonal_region_offset,3456,528,14,true,6,0,,2021-12-27,2022-01-03,{},{}
tick_borne_2022,2022,glm_past_combined_offset,3456,528,15,true,6,0,,2021-12-27,2022-01-03,"{""past_8w_reported_lyme_plus_kme_incidence_per_100000"": 43.716600693311555}","{""past_8w_reported_lyme_plus_kme_incidence_per_100000"": 46.619910059573044}"
tick_borne_2022,2022,glm_weather_only_offset,3456,528,5,true,6,0,,2021-12-27,2022-01-03,"{""stl1_mean_c_previous_4w_mean"": 11.005926606627234, ""swvl1_mean_m3_m3_previous_4w_mean"": 0.3593129841179384, ""t2m_mean_c_previous_4w_mean"": 10.921779850887955, ""tp_sum_mm_previous_4w_sum"": 101.674486007168}","{""stl1_mean_c_previous_4w_mean"": 7.106349790157324, ""swvl1_mean_m3_m3_previous_4w_mean"": 0.03224367438859978, ""t2m_mean_c_previous_4w_mean"": 7.365763423169771, ""tp_sum_mm_previous_4w_sum"": 57.73778971334338}"
tick_borne_2022,2022,glm_seasonal_region_weather_offset,3456,528,18,true,6,0,,2021-12-27,2022-01-03,"{""stl1_mean_c_previous_4w_mean"": 11.005926606627234, ""swvl1_mean_m3_m3_previous_4w_mean"": 0.3593129841179384, ""t2m_mean_c_previous_4w_mean"": 10.921779850887955, ""tp_sum_mm_previous_4w_sum"": 101.674486007168}","{""stl1_mean_c_previous_4w_mean"": 7.106349790157324, ""swvl1_mean_m3_m3_previous_4w_mean"": 0.03224367438859978, ""t2m_mean_c_previous_4w_mean"": 7.365763423169771, ""tp_sum_mm_previous_4w_sum"": 57.73778971334338}"
tick_borne_2022,2022,glm_combined_weather_offset,3456,528,19,true,6,0,,2021-12-27,2022-01-03,"{""past_8w_reported_lyme_plus_kme_incidence_per_100000"": 43.716600693311555, ""stl1_mean_c_previous_4w_mean"": 11.005926606627234, ""swvl1_mean_m3_m3_previous_4w_mean"": 0.3593129841179384, ""t2m_mean_c_previous_4w_mean"": 10.921779850887955, ""tp_sum_mm_previous_4w_sum"": 101.674486007168}","{""past_8w_reported_lyme_plus_kme_incidence_per_100000"": 46.619910059573044, ""stl1_mean_c_previous_4w_mean"": 7.106349790157324, ""swvl1_mean_m3_m3_previous_4w_mean"": 0.03224367438859978, ""t2m_mean_c_previous_4w_mean"": 7.365763423169771, ""tp_sum_mm_previous_4w_sum"": 57.73778971334338}"
tick_borne_2022,2022,catboost_combined_weather_offset,3456,528,8,true,200,0,,2021-12-27,2022-01-03,not_applicable,not_applicable
tick_borne_2023,2023,glm_seasonal_region_offset,4080,528,14,true,6,0,,2022-12-26,2023-01-02,{},{}
tick_borne_2023,2023,glm_past_combined_offset,4080,528,15,true,6,0,,2022-12-26,2023-01-02,"{""past_8w_reported_lyme_plus_kme_incidence_per_100000"": 41.90810909344203}","{""past_8w_reported_lyme_plus_kme_incidence_per_100000"": 45.808310733592954}"
tick_borne_2023,2023,glm_weather_only_offset,4080,528,5,true,6,0,,2022-12-26,2023-01-02,"{""stl1_mean_c_previous_4w_mean"": 10.936592553351169, ""swvl1_mean_m3_m3_previous_4w_mean"": 0.3575518704739668, ""t2m_mean_c_previous_4w_mean"": 10.862263230742586, ""tp_sum_mm_previous_4w_sum"": 98.23644954322322}","{""stl1_mean_c_previous_4w_mean"": 7.189551723651835, ""swvl1_mean_m3_m3_previous_4w_mean"": 0.03462419988840255, ""t2m_mean_c_previous_4w_mean"": 7.4465198703745035, ""tp_sum_mm_previous_4w_sum"": 57.355023501327004}"
tick_borne_2023,2023,glm_seasonal_region_weather_offset,4080,528,18,true,6,0,,2022-12-26,2023-01-02,"{""stl1_mean_c_previous_4w_mean"": 10.936592553351169, ""swvl1_mean_m3_m3_previous_4w_mean"": 0.3575518704739668, ""t2m_mean_c_previous_4w_mean"": 10.862263230742586, ""tp_sum_mm_previous_4w_sum"": 98.23644954322322}","{""stl1_mean_c_previous_4w_mean"": 7.189551723651835, ""swvl1_mean_m3_m3_previous_4w_mean"": 0.03462419988840255, ""t2m_mean_c_previous_4w_mean"": 7.4465198703745035, ""tp_sum_mm_previous_4w_sum"": 57.355023501327004}"
tick_borne_2023,2023,glm_combined_weather_offset,4080,528,19,true,6,0,,2022-12-26,2023-01-02,"{""past_8w_reported_lyme_plus_kme_incidence_per_100000"": 41.90810909344203, ""stl1_mean_c_previous_4w_mean"": 10.936592553351169, ""swvl1_mean_m3_m3_previous_4w_mean"": 0.3575518704739668, ""t2m_mean_c_previous_4w_mean"": 10.862263230742586, ""tp_sum_mm_previous_4w_sum"": 98.23644954322322}","{""past_8w_reported_lyme_plus_kme_incidence_per_100000"": 45.808310733592954, ""stl1_mean_c_previous_4w_mean"": 7.189551723651835, ""swvl1_mean_m3_m3_previous_4w_mean"": 0.03462419988840255, ""t2m_mean_c_previous_4w_mean"": 7.4465198703745035, ""tp_sum_mm_previous_4w_sum"": 57.355023501327004}"
tick_borne_2023,2023,catboost_combined_weather_offset,4080,528,8,true,200,0,,2022-12-26,2023-01-02,not_applicable,not_applicable
tick_borne_2024,2024,glm_seasonal_region_offset,4704,528,14,true,6,0,,2023-12-25,2024-01-01,{},{}
tick_borne_2024,2024,glm_past_combined_offset,4704,528,15,true,6,0,,2023-12-25,2024-01-01,"{""past_8w_reported_lyme_plus_kme_incidence_per_100000"": 39.0210977008029}","{""past_8w_reported_lyme_plus_kme_incidence_per_100000"": 43.78090625609382}"
