scenario_family,year,target_column,target_label,predicted_prevalence_per_100k,lag_1_used,rolling_3_used,table_role,model_name
high_emissions,2066,lyme_cases_per_100k,Lyme prevalence per 100k,8406.19446621607,8169.015025470468,8414.51410677552,scenario_projection_recursive,lyme_prevalence
high_emissions,2067,lyme_cases_per_100k,Lyme prevalence per 100k,8697.043883738093,8406.19446621607,8393.086332161307,scenario_projection_recursive,lyme_prevalence
high_emissions,2068,lyme_cases_per_100k,Lyme prevalence per 100k,8723.303754863222,8697.043883738093,8424.084458474876,scenario_projection_recursive,lyme_prevalence
high_emissions,2069,lyme_cases_per_100k,Lyme prevalence per 100k,8845.730852876442,8723.303754863222,8608.84736827246,scenario_projection_recursive,lyme_prevalence
high_emissions,2070,lyme_cases_per_100k,Lyme prevalence per 100k,8620.403902194412,8845.730852876442,8755.359497159252,scenario_projection_recursive,lyme_prevalence
high_emissions,2071,lyme_cases_per_100k,Lyme prevalence per 100k,8556.098534938335,8620.403902194412,8729.81283664469,scenario_projection_recursive,lyme_prevalence
high_emissions,2072,lyme_cases_per_100k,Lyme prevalence per 100k,8846.332739926867,8556.098534938335,8674.077763336396,scenario_projection_recursive,lyme_prevalence
high_emissions,2073,lyme_cases_per_100k,Lyme prevalence per 100k,8908.177225301366,8846.332739926867,8674.278392353204,scenario_projection_recursive,lyme_prevalence
high_emissions,2074,lyme_cases_per_100k,Lyme prevalence per 100k,9028.6117716615,8908.177225301366,8770.202833388857,scenario_projection_recursive,lyme_prevalence
high_emissions,2075,lyme_cases_per_100k,Lyme prevalence per 100k,9090.903611564156,9028.6117716615,8927.707245629912,scenario_projection_recursive,lyme_prevalence
high_emissions,2076,lyme_cases_per_100k,Lyme prevalence per 100k,9207.282250355856,9090.903611564156,9009.230869509007,scenario_projection_recursive,lyme_prevalence
high_emissions,2077,lyme_cases_per_100k,Lyme prevalence per 100k,9353.106898930528,9207.282250355856,9108.932544527172,scenario_projection_recursive,lyme_prevalence
high_emissions,2078,lyme_cases_per_100k,Lyme prevalence per 100k,9078.531545253329,9353.106898930528,9217.09758695018,scenario_projection_recursive,lyme_prevalence
high_emissions,2079,lyme_cases_per_100k,Lyme prevalence per 100k,8975.745752710123,9078.531545253329,9212.97356484657,scenario_projection_recursive,lyme_prevalence
high_emissions,2080,lyme_cases_per_100k,Lyme prevalence per 100k,9410.147351320491,8975.745752710123,9135.794732297994,scenario_projection_recursive,lyme_prevalence
high_emissions,2081,lyme_cases_per_100k,Lyme prevalence per 100k,9111.804292408973,9410.147351320491,9154.80821642798,scenario_projection_recursive,lyme_prevalence
high_emissions,2082,lyme_cases_per_100k,Lyme prevalence per 100k,9370.840833567418,9111.804292408973,9165.89913214653,scenario_projection_recursive,lyme_prevalence
high_emissions,2083,lyme_cases_per_100k,Lyme prevalence per 100k,9487.583688319924,9370.840833567418,9297.597492432295,scenario_projection_recursive,lyme_prevalence
high_emissions,2084,lyme_cases_per_100k,Lyme prevalence per 100k,9405.73615569459,9487.583688319924,9323.409604765438,scenario_projection_recursive,lyme_prevalence
high_emissions,2085,lyme_cases_per_100k,Lyme prevalence per 100k,9473.09944369338,9405.73615569459,9421.386892527311,scenario_projection_recursive,lyme_prevalence
high_emissions,2086,lyme_cases_per_100k,Lyme prevalence per 100k,9250.045908024456,9473.09944369338,9455.473095902633,scenario_projection_recursive,lyme_prevalence
high_emissions,2087,lyme_cases_per_100k,Lyme prevalence per 100k,9364.05577874322,9250.045908024456,9376.293835804143,scenario_projection_recursive,lyme_prevalence
high_emissions,2088,lyme_cases_per_100k,Lyme prevalence per 100k,9466.76790547239,9364.05577874322,9362.400376820353,scenario_projection_recursive,lyme_prevalence
high_emissions,2089,lyme_cases_per_100k,Lyme prevalence per 100k,9887.225010232345,9466.76790547239,9360.289864080021,scenario_projection_recursive,lyme_prevalence
high_emissions,2090,lyme_cases_per_100k,Lyme prevalence per 100k,9181.789214955821,9887.225010232345,9572.682898149318,scenario_projection_recursive,lyme_prevalence
