model_name,alpha,validation_year,fold_rmse,mean_fold_rmse
combined_prevalence,0.0,2021,4859.575280164045,5876.44912397877
combined_prevalence,0.0,2022,8609.965340573612,5876.44912397877
combined_prevalence,0.0,2023,4159.806751198653,5876.44912397877
combined_prevalence,0.1,2021,4859.575280164045,5370.158370121519
combined_prevalence,0.1,2022,8306.500464038467,5370.158370121519
combined_prevalence,0.1,2023,2944.3993661620443,5370.158370121519
combined_prevalence,1.0,2021,4859.575280164045,4548.631202789744
combined_prevalence,1.0,2022,6807.07975039156,4548.631202789744
combined_prevalence,1.0,2023,1979.2385778136265,4548.631202789744
combined_prevalence,10.0,2021,4859.575280164045,3610.8853107606374
combined_prevalence,10.0,2022,3548.94499031656,3610.8853107606374
combined_prevalence,10.0,2023,2424.1356618013065,3610.8853107606374
combined_prevalence,100.0,2021,2426.1619853258426,2434.9947765637557
combined_prevalence,100.0,2022,1549.0697644121417,2434.9947765637557
combined_prevalence,100.0,2023,3329.7525799532823,2434.9947765637557
