model_name,alpha,validation_year,fold_rmse,mean_fold_rmse
lyme_prevalence,0.0,2021,4758.976392895206,5752.12187849129
lyme_prevalence,0.0,2022,8439.277417777184,5752.12187849129
lyme_prevalence,0.0,2023,4058.111824801481,5752.12187849129
lyme_prevalence,0.1,2021,4758.976392895206,5259.418200603274
lyme_prevalence,0.1,2022,8146.164340906207,5259.418200603274
lyme_prevalence,0.1,2023,2873.1138680084077,5259.418200603274
lyme_prevalence,1.0,2021,4758.976392895206,4464.617004655611
lyme_prevalence,1.0,2022,6693.536963642294,4464.617004655611
lyme_prevalence,1.0,2023,1941.3376574293334,4464.617004655611
lyme_prevalence,10.0,2021,4758.976392895206,3542.440254506153
lyme_prevalence,10.0,2022,3513.7315758992727,3542.440254506153
lyme_prevalence,10.0,2023,2354.612794723981,3542.440254506153
lyme_prevalence,100.0,2021,2715.157979159051,2502.4863513646646
lyme_prevalence,100.0,2022,1553.7431914834208,2502.4863513646646
lyme_prevalence,100.0,2023,3238.557883451522,2502.4863513646646
