year,target_column,baseline_prevalence_per_100k,recent_momentum,thermal_humidity_index,wetness_index,lyme_cases_per_100k,residual_target
2019,lyme_cases_per_100k,12445.572814895637,3574.267823039738,-0.3358844845888591,-1.424122702927017,6378.821000256395,-6066.751814639242
2020,lyme_cases_per_100k,6378.821000256395,-2396.9174895866026,1.8896405930943592,-0.8384284423526442,12089.509355429003,5710.688355172609
2021,lyme_cases_per_100k,12089.509355429003,1784.8749652353254,-0.7984382315575256,-0.17439898342931714,4758.976392895206,-7330.532962533797
2022,lyme_cases_per_100k,4758.976392895206,-2983.459189964995,0.5764537320035622,0.22608001502479658,6546.207394766579,1787.2310018713724
2023,lyme_cases_per_100k,6546.207394766579,-1252.0236529303502,-2.5137731909694603,0.8288198528000358,4058.111824801481,-2488.0955699650976
2024,lyme_cases_per_100k,4058.111824801481,-1062.9867126862746,-1.0804650300440377,-0.41029175393206174,5082.948490830592,1024.8366660291113
2025,lyme_cases_per_100k,5082.948490830592,-146.14074596895807,4.209459313909735,-1.6099730424957142,7939.903481400254,2856.954990569662
