scenario_family,year,target_column,target_label,baseline_prevalence_per_100k,recent_momentum,predicted_residual,predicted_prevalence_per_100k,table_role,model_name
high_emissions,2033,kme_cases_per_100k,KME prevalence per 100k,208.86829856646423,84.08903890860498,49.838993690545564,258.7072922570098,scenario_projection_recursive,kme_prevalence
high_emissions,2034,kme_cases_per_100k,KME prevalence per 100k,249.83583472471912,8.871457532290663,159.28743993384967,409.1232746585688,scenario_projection_recursive,kme_prevalence
high_emissions,2035,kme_cases_per_100k,KME prevalence per 100k,320.2626347968826,88.8606398616862,-12.042622329260748,308.22001246762187,scenario_projection_recursive,kme_prevalence
medium_emissions,2026,kme_cases_per_100k,KME prevalence per 100k,124.90479710507212,2.108255986713573,201.77266172679143,326.67745883186353,scenario_projection_recursive,kme_prevalence
medium_emissions,2027,kme_cases_per_100k,KME prevalence per 100k,199.89897458330225,126.77848424856128,32.368935716591395,232.26791029989363,scenario_projection_recursive,kme_prevalence
medium_emissions,2028,kme_cases_per_100k,KME prevalence per 100k,228.6528074078476,3.615102892046025,22.896172075176022,251.54897948302363,scenario_projection_recursive,kme_prevalence
medium_emissions,2029,kme_cases_per_100k,KME prevalence per 100k,270.1647828715936,-18.615803388569987,-97.84808275342155,172.31670011817207,scenario_projection_recursive,kme_prevalence
medium_emissions,2030,kme_cases_per_100k,KME prevalence per 100k,218.71119663369643,-46.39449651552437,24.155414288661913,242.86661092235835,scenario_projection_recursive,kme_prevalence
medium_emissions,2031,kme_cases_per_100k,KME prevalence per 100k,222.24409684118464,20.622514081173705,127.32910342373025,349.5732002649149,scenario_projection_recursive,kme_prevalence
medium_emissions,2032,kme_cases_per_100k,KME prevalence per 100k,254.91883710181511,94.65436316309976,8.967198450191095,263.8860355520062,scenario_projection_recursive,kme_prevalence
medium_emissions,2033,kme_cases_per_100k,KME prevalence per 100k,285.4419489130932,-21.555913361086994,-11.653672504928313,273.7882764081649,scenario_projection_recursive,kme_prevalence
medium_emissions,2034,kme_cases_per_100k,KME prevalence per 100k,295.7491707416953,-21.960894333530405,79.64022147834879,375.3893922200441,scenario_projection_recursive,kme_prevalence
medium_emissions,2035,kme_cases_per_100k,KME prevalence per 100k,304.3545680600717,71.0348241599724,-4.484624308136507,299.8699437519352,scenario_projection_recursive,kme_prevalence
high_emissions,2026,tick_borne_cases_total_per_100k,Combined tick-borne prevalence per 100k,8066.91653449204,2248.357138376193,-2094.5294571236286,5972.387077368412,scenario_projection_recursive,combined_prevalence
high_emissions,2027,tick_borne_cases_total_per_100k,Combined tick-borne prevalence per 100k,5972.387077368412,-450.3657608040221,-215.1462296756397,5757.240847692772,scenario_projection_recursive,combined_prevalence
high_emissions,2028,tick_borne_cases_total_per_100k,Combined tick-borne prevalence per 100k,5757.240847692772,-841.607305491636,-62.007917378702814,5695.23293031407,scenario_projection_recursive,combined_prevalence
high_emissions,2029,tick_borne_cases_total_per_100k,Combined tick-borne prevalence per 100k,5695.23293031407,-113.05402147768291,1920.6591414159254,7615.892071729995,scenario_projection_recursive,combined_prevalence
high_emissions,2030,tick_borne_cases_total_per_100k,Combined tick-borne prevalence per 100k,7615.892071729995,1259.7701218177162,-2048.7301783639873,5567.161893366008,scenario_projection_recursive,combined_prevalence
high_emissions,2031,tick_borne_cases_total_per_100k,Combined tick-borne prevalence per 100k,5567.161893366008,-725.6004051040163,-330.9955253872024,5236.166367978806,scenario_projection_recursive,combined_prevalence
high_emissions,2032,tick_borne_cases_total_per_100k,Combined tick-borne prevalence per 100k,5236.166367978806,-903.5737430461304,5087.642161893131,10323.808529871938,scenario_projection_recursive,combined_prevalence
high_emissions,2033,tick_borne_cases_total_per_100k,Combined tick-borne prevalence per 100k,10323.808529871938,3281.4295994663526,-86.8194822982548,10236.989047573683,scenario_projection_recursive,combined_prevalence
high_emissions,2034,tick_borne_cases_total_per_100k,Combined tick-borne prevalence per 100k,10236.989047573683,1638.0010657655403,4468.637887231534,14705.626934805216,scenario_projection_recursive,combined_prevalence
high_emissions,2035,tick_borne_cases_total_per_100k,Combined tick-borne prevalence per 100k,14705.626934805216,2950.1520973882707,-977.3136788785034,13728.313255926712,scenario_projection_recursive,combined_prevalence
medium_emissions,2026,tick_borne_cases_total_per_100k,Combined tick-borne prevalence per 100k,8066.91653449204,2248.357138376193,1513.7261466304092,9580.64268112245,scenario_projection_recursive,combined_prevalence
medium_emissions,2027,tick_borne_cases_total_per_100k,Combined tick-borne prevalence per 100k,9580.64268112245,1955.137975032003,-1202.6055735405503,8378.0371075819,scenario_projection_recursive,combined_prevalence
medium_emissions,2028,tick_borne_cases_total_per_100k,Combined tick-borne prevalence per 100k,8378.0371075819,-297.1616668168972,128.9465839752936,8506.983691557194,scenario_projection_recursive,combined_prevalence
medium_emissions,2029,tick_borne_cases_total_per_100k,Combined tick-borne prevalence per 100k,8506.983691557194,-314.90413519665344,-1901.2198058597887,6605.763885697405,scenario_projection_recursive,combined_prevalence
medium_emissions,2030,tick_borne_cases_total_per_100k,Combined tick-borne prevalence per 100k,6605.763885697405,-1224.4976759147612,998.5369131341974,7604.300798831603,scenario_projection_recursive,combined_prevalence
medium_emissions,2031,tick_borne_cases_total_per_100k,Combined tick-borne prevalence per 100k,7604.300798831603,31.951340136201907,3936.5850619514613,11540.885860783064,scenario_projection_recursive,combined_prevalence
medium_emissions,2032,tick_borne_cases_total_per_100k,Combined tick-borne prevalence per 100k,11540.885860783064,2957.235679012374,-800.3494403527736,10740.536420430291,scenario_projection_recursive,combined_prevalence
medium_emissions,2033,tick_borne_cases_total_per_100k,Combined tick-borne prevalence per 100k,10740.536420430291,778.6287270819721,-1277.0760054078671,9463.460415022424,scenario_projection_recursive,combined_prevalence
medium_emissions,2034,tick_borne_cases_total_per_100k,Combined tick-borne prevalence per 100k,9463.460415022424,-1118.1671503895013,4277.733543009968,13741.193958032392,scenario_projection_recursive,combined_prevalence
medium_emissions,2035,tick_borne_cases_total_per_100k,Combined tick-borne prevalence per 100k,13741.193958032392,2426.1303602040243,-2336.779687900619,11404.414270131772,scenario_projection_recursive,combined_prevalence
