municipality_code,municipality_area_km2
001,245.34930878195
002,62.3069147933069
003,72.4289322829595
004,333.780194769445
005,42.3102853578637
006,367.395804771888
007,71.9784902067508
008,91.1596901799309
009,268.012886791034
010,38.7955256768162
011,94.9368509894575
012,78.0110625620518
013,240.992992157534
014,131.701012620162
015,33.648023068043
016,155.810080355169
017,339.832844675708
018,34.3688045040975
019,145.11051471273
020,103.211461361272
021,117.590076421314
022,33.3262941192047
023,72.2857515530233
024,28.4119338181437
025,104.958013024556
026,39.8152464612429
027,153.245512270888
028,29.1379450666621
029,74.5693830296983
030,90.0504764196589
031,66.8398775256647
032,133.862857108776
033,58.1622677960091
034,58.5518621974443
035,194.760432399008
036,293.458012620614
037,98.5632182518228
038,480.004629056656
039,227.051859819288
040,28.5337547304551
041,75.9108585137539
042,36.2096316093157
043,265.668526707045
044,146.461914037468
045,71.4173602004708
046,192.435811149255
047,19.7325034108182
048,555.721228163394
049,102.634670243611
050,303.397158581571
051,89.8204490982969
052,150.933297530997
053,256.41129959081
054,286.651843445259
055,48.9638147100746
056,22.8579418766076
057,197.598882311575
058,62.1179603979563
059,121.154343619329
060,221.392332432621
061,275.045646189578
062,79.1058551433533
063,107.159329066774
064,173.067441706751
065,166.833614326093
066,134.526390459921
067,110.017475364005
068,74.825075046364
069,72.8972338093024
070,147.513454511721
071,77.6631274603203
072,22.4640496792323
073,108.675563608502
074,26.4643493586289
075,62.7479930643971
076,112.09490540856
077,61.4187162969168
078,144.40784902993
079,53.4867657055777
080,64.3681014973152
081,38.9206067546975
082,28.2478686033233
083,43.608249136438
084,279.607400856962
085,235.809217486746
086,6.92754465815627
087,141.762377492537
088,36.2170292425023
089,75.8790556042994
090,43.4977951307922
091,223.286998400682
092,60.6048422860683
093,103.878841115109
094,269.889508573073
095,86.9921306750025
096,66.5862253358439
097,107.975486262925
098,51.316309906024
099,52.027941124598
100,34.1702859537336
101,94.0301189128632
102,118.719136440135
103,63.4726966685852
104,153.745343732298
105,40.1898151766834
106,71.4078764513921
107,39.5045265041455
108,60.7832547129182
109,146.599104131334
110,272.1094920988
111,217.380113182497
112,173.678720103872
113,260.201823805321
114,97.7059184657482
115,34.2303028899441
116,51.3286554762909
117,40.2922487626155
118,65.0092926504214
119,96.0423509658371
120,222.374391736762
121,60.4709632649083
122,146.047686637102
123,43.6097724362115
124,107.664113718518
125,18.1093196671586
126,95.7534710757981
127,28.1360331933692
128,382.230625172406
129,58.1649902283712
130,163.324334780987
131,155.391555692344
132,23.8509984942612
133,84.1012135559325
134,103.241000725986
135,80.0379035171574
136,107.342205759565
137,59.3463390064306
138,31.3564597949548
139,75.3189068323662
140,115.692986276749
141,50.0562318396657
142,147.193257664563
143,19.2510666488316
144,67.0161715448352
146,163.823450170193
147,49.2503990192681
148,24.1495145069617
149,31.1366951422528
150,75.0812831927203
151,55.0148709069162
152,30.5393609101401
153,24.4955351768986
154,17.4863233141316
155,31.6725400459558
156,31.132385943021
157,110.118676619971
158,37.1219805556043
159,21.7867099462704
160,53.6985199596549
161,18.1245448488941
162,32.4415745940271
163,68.7179854501921
164,24.0523880784818
165,56.1120105957202
166,46.2975367541397
167,84.2704527295579
168,29.8065567613165
169,12.5069755453186
170,48.0676435509338
171,33.2378569679094
172,45.9960085647365
173,33.4640196391725
174,40.5869653460955
175,58.0792009569347
176,9.87461616050482
177,59.5563518020355
178,64.5062276418531
179,49.36762039804
180,102.354291884567
181,37.1891002584717
182,17.644205966568
183,14.9741156028549
184,34.7264940809736
185,22.909029150915
186,8.62271890007752
187,18.6791244644466
188,12.0226062013283
189,53.1613815773162
190,117.115511529125
191,38.0879103443407
192,42.5312643444926
193,164.26795370598
194,94.9752751163359
195,53.4357934586624
196,32.1082517553886
197,58.3329381958097
198,36.8985188066002
199,73.4613613473427
200,37.6355684987266
201,29.4684938088893
202,32.7803199625246
203,28.6725651797887
204,25.8850937929251
205,37.9177260772198
206,34.1764608159437
207,116.080272797818
208,11.0644666235053
209,30.1586424226682
210,30.7296838653397
211,49.0658333015336
212,31.2779927119812
213,8.06239222219375
