fold_id,challenger_id,feature,feature_importance
fold_03_validate_2019,catboost_poisson_s3_weather_offset,seasonal_sin_annual,11.4725236574813
fold_03_validate_2019,catboost_poisson_s3_weather_offset,seasonal_cos_annual,40.8501280230613
fold_03_validate_2019,catboost_poisson_s3_weather_offset,past_4w_lyme_incidence_per_100000,18.54226324148
fold_03_validate_2019,catboost_poisson_s3_weather_offset,z_t2m_mean_c_lag_1w,0.629464098276822
fold_03_validate_2019,catboost_poisson_s3_weather_offset,z_t2m_mean_c_lag_2w,1.30750126258637
fold_03_validate_2019,catboost_poisson_s3_weather_offset,z_t2m_mean_c_previous_4w_mean,3.42425180014776
fold_03_validate_2019,catboost_poisson_s3_weather_offset,z_d2m_mean_c_lag_1w,2.39206598459227
fold_03_validate_2019,catboost_poisson_s3_weather_offset,z_d2m_mean_c_lag_2w,0.343201637259683
fold_03_validate_2019,catboost_poisson_s3_weather_offset,z_d2m_mean_c_previous_4w_mean,0.615016145858785
fold_03_validate_2019,catboost_poisson_s3_weather_offset,z_tp_sum_mm_lag_1w,0.0596534313508096
fold_03_validate_2019,catboost_poisson_s3_weather_offset,z_tp_sum_mm_lag_2w,0.039800083248771
fold_03_validate_2019,catboost_poisson_s3_weather_offset,z_tp_sum_mm_previous_4w_sum,0.293885474885323
fold_03_validate_2019,catboost_poisson_s3_weather_offset,z_stl1_mean_c_lag_1w,1.32080784421285
fold_03_validate_2019,catboost_poisson_s3_weather_offset,z_stl1_mean_c_lag_2w,1.9634772046802
fold_03_validate_2019,catboost_poisson_s3_weather_offset,z_stl1_mean_c_previous_4w_mean,0.935163209521053
fold_03_validate_2019,catboost_poisson_s3_weather_offset,z_stl2_mean_c_lag_1w,0.472301595855999
fold_03_validate_2019,catboost_poisson_s3_weather_offset,z_stl2_mean_c_lag_2w,0.752590035176227
fold_03_validate_2019,catboost_poisson_s3_weather_offset,z_stl2_mean_c_previous_4w_mean,3.36342645756845
