fold_id,validation_year,n_validation,reference_model_id,reference_mae,catboost_mae,catboost_minus_reference_mae,mae_result,reference_rmse,catboost_rmse,catboost_minus_reference_rmse,rmse_result,reference_mean_poisson_deviance,catboost_mean_poisson_deviance,catboost_minus_reference_mean_poisson_deviance,poisson_deviance_result
fold_01_validate_2017,2017,10176,model_s3_weather_offset_matched,1.119629496314,1.16727371535482,0.0476442190408131,deterioration,2.21742037418314,2.30082206915669,0.0834016949735479,deterioration,1.69254938773053,1.52837835981969,-0.164171027910842,improvement
fold_02_validate_2018,2018,10388,model_s3_weather_offset_matched,1.67436409121567,1.67520376482481,0.000839673609138503,deterioration,4.1522318496688,4.36274172983443,0.210509880165629,deterioration,2.06241126849272,2.1081475192071,0.0457362507143833,deterioration
fold_03_validate_2019,2019,10176,model_s3_weather_offset_matched,1.1903209435582,1.00930630276998,-0.181014640788224,improvement,2.35344951791193,1.77288931040222,-0.580560207509715,improvement,1.42409234554763,1.26797273384445,-0.156119611703177,improvement
fold_04_validate_2020,2020,10176,model_s3_weather_offset_matched,1.82326366741802,1.54012654092029,-0.28313712649773,improvement,5.71583176806507,4.39603112234468,-1.3198006457204,improvement,2.45104995522944,1.7993152643195,-0.651734690909943,improvement
fold_05_validate_2021,2021,10176,model_s3_weather_offset_matched,1.13963879006416,1.06709475475555,-0.0725440353086071,improvement,2.43647852423148,2.11150826583559,-0.324970258395891,improvement,1.5095846204057,1.43913601940525,-0.0704486010004426,improvement
fold_06_validate_2022,2022,10176,model_s3_weather_offset_matched,1.17413265557388,1.10488138445703,-0.0692512711168465,improvement,2.47507257518803,2.21841488545872,-0.256657689729316,improvement,1.469193845623,1.396903126505,-0.0722907191179964,improvement
fold_07_validate_2023,2023,10176,model_s3_weather_offset_matched,1.31105358798189,0.966973263535608,-0.344080324446278,improvement,2.78357816020291,1.90383971799923,-0.879738442203684,improvement,1.74255104111653,1.35184621496063,-0.390704826155906,improvement
fold_08_validate_2024,2024,10388,model_s3_weather_offset_matched,1.12582027090514,0.925358097461094,-0.200462173444042,improvement,2.25374174215997,1.66964447672866,-0.584097265431312,improvement,1.42060337364382,1.2296430723528,-0.190960301291019,improvement
