fold_id,candidate_id,candidate_name,n_expected_predictions,n_available_predictions,n_missing_predictions,prediction_metric_status,mae,rmse,mean_poisson_deviance,poisson_deviance_status,n_poisson_valid,n_poisson_invalid
fold_01_validate_2017,model_s3_weather_offset_matched,"S3 seasonality, municipality fixed effects, past incidence and lagged ERA5-Land weather with population exposure",10176,10176,0,complete,1.119629496314,2.21742037418314,1.69254938773053,valid,10176,0
fold_02_validate_2018,model_s3_weather_offset_matched,"S3 seasonality, municipality fixed effects, past incidence and lagged ERA5-Land weather with population exposure",10388,10388,0,complete,1.67436409121567,4.1522318496688,2.06241126849272,valid,10388,0
fold_03_validate_2019,model_s3_weather_offset_matched,"S3 seasonality, municipality fixed effects, past incidence and lagged ERA5-Land weather with population exposure",10176,10176,0,complete,1.1903209435582,2.35344951791193,1.42409234554763,valid,10176,0
fold_04_validate_2020,model_s3_weather_offset_matched,"S3 seasonality, municipality fixed effects, past incidence and lagged ERA5-Land weather with population exposure",10176,10176,0,complete,1.82326366741802,5.71583176806507,2.45104995522944,valid,10176,0
fold_05_validate_2021,model_s3_weather_offset_matched,"S3 seasonality, municipality fixed effects, past incidence and lagged ERA5-Land weather with population exposure",10176,10176,0,complete,1.13963879006416,2.43647852423148,1.5095846204057,valid,10176,0
fold_06_validate_2022,model_s3_weather_offset_matched,"S3 seasonality, municipality fixed effects, past incidence and lagged ERA5-Land weather with population exposure",10176,10176,0,complete,1.17413265557388,2.47507257518803,1.469193845623,valid,10176,0
fold_07_validate_2023,model_s3_weather_offset_matched,"S3 seasonality, municipality fixed effects, past incidence and lagged ERA5-Land weather with population exposure",10176,10176,0,complete,1.31105358798189,2.78357816020291,1.74255104111653,valid,10176,0
fold_08_validate_2024,model_s3_weather_offset_matched,"S3 seasonality, municipality fixed effects, past incidence and lagged ERA5-Land weather with population exposure",10388,10388,0,complete,1.12582027090514,2.25374174215997,1.42060337364382,valid,10388,0
