fold_id,model_id,feature,coefficient,standard_error
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[056],-0.10796391763264,0.268092241683793
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[057],-0.702359843868373,0.122811573596642
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[058],-1.03757781673474,0.179366989808282
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[059],-0.313537640347468,0.159109734084775
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[060],-1.28228042296616,0.137737621027994
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[061],-1.33434591254869,0.0726369596434114
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[062],0.0558983958662838,0.188194289337268
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[063],0.482486854208505,0.1216277783285
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[064],-1.73064329726377,0.153051234353821
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[065],-0.746676406333591,0.192939909128649
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[066],-25.027923388409,25469.0402127898
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[067],-0.679026269218433,0.314996719390139
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[068],-1.0491632429538,0.183262235787611
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[069],-0.565181844674644,0.18164606829016
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[070],-1.17251013914105,0.0858166621133663
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[071],-1.10010335025078,0.121788386579857
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[072],-1.69991274912773,0.202027726633332
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[073],-1.40418173777532,0.180502330659193
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[074],-0.666387818211446,0.20245463077629
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[075],-0.266077219082363,0.194161617898396
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[076],-1.63099526602677,0.265850807575108
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[077],-1.48839356763357,0.215364860354891
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[078],-0.0326498974389722,0.161548058365209
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[079],0.0968010065989668,0.140083890158729
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[080],-0.743900429248837,0.132952398145242
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[081],-1.08285029466083,0.236730928035356
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[082],-0.907782611629501,0.175886706784344
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[083],-0.453303765733482,0.202823653648758
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[084],-1.18139620213874,0.10518787879009
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[085],-0.428275631841338,0.0867181770969348
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[086],-0.812048879225407,0.367186111530056
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[087],-0.507697246985984,0.147102997024516
fold_01_validate_2017,model_s3_weather_offset_matched,municipality[088],-0.0733105213251477,0.359997576932264
