feature,coefficient,standard_error
intercept,-3.40641996473764,0.169935991505857
seasonal_sin_annual,-0.240199423130007,0.0504171612930874
seasonal_cos_annual,-1.68162874560183,0.0667405215143885
region[02],-0.0682547220617958,0.192953643811004
region[03],1.48858248150953,0.192166638951851
region[04],-0.168684278419093,0.203255359862898
region[05],-0.611466994298485,0.356408511348826
region[06],-1.24887820525578,0.412170067195955
region[07],0.362590311248572,0.204822850682421
region[08],0.523773834395301,0.174274233990186
region[09],1.2255264871989,0.177291605471871
region[10],1.59338027879894,0.197311400917484
region[11],0.273455690467147,0.216857158118121
region[12],-1.54125198135894,0.389906432203309
