candidate_id,candidate_name,calibration_group,n,prediction_min,prediction_max,predicted_mean,observed_mean,predicted_total,observed_total,observed_to_predicted_total_ratio,mean_signed_error_prediction_minus_observation
catboost_poisson_s3_weather_offset,Frozen CatBoost Poisson final model,1,997,0.0106927580129402,0.118729859787064,0.0746493340476469,0.148445336008024,74.425386045504,148,1.98856879169578,-0.0737960019603771
catboost_poisson_s3_weather_offset,Frozen CatBoost Poisson final model,2,996,0.118736560584323,0.213932330007496,0.162498930387833,0.252008032128514,161.848934666282,251,1.5508288671627,-0.0895091017406806
catboost_poisson_s3_weather_offset,Frozen CatBoost Poisson final model,3,997,0.213943300910054,0.348566348420967,0.278776197369395,0.429287863590772,277.939868777287,428,1.53990142501994,-0.150511666221377
catboost_poisson_s3_weather_offset,Frozen CatBoost Poisson final model,4,996,0.348686054907201,0.48447799457904,0.417986231404834,0.544176706827309,416.314286479215,542,1.3019010339129,-0.126190475422475
catboost_poisson_s3_weather_offset,Frozen CatBoost Poisson final model,5,996,0.484545496614863,0.684231539354239,0.580516643169103,0.854417670682731,578.194576596427,851,1.47182286802041,-0.273901027513628
catboost_poisson_s3_weather_offset,Frozen CatBoost Poisson final model,6,997,0.684752533322479,0.980330250353398,0.824380654393999,1.08525576730191,821.907512430817,1082,1.31644982389801,-0.260875112907906
catboost_poisson_s3_weather_offset,Frozen CatBoost Poisson final model,7,996,0.980393169864353,1.41281272661582,1.18289271430937,1.5,1178.16114345213,1494,1.2680778077797,-0.317107285690632
catboost_poisson_s3_weather_offset,Frozen CatBoost Poisson final model,8,997,1.4130426693623,2.11755120398472,1.73396592090207,2.21063189568706,1728.76402313936,2204,1.27489927514666,-0.476665974784996
catboost_poisson_s3_weather_offset,Frozen CatBoost Poisson final model,9,996,2.11882634856628,3.72678869341482,2.775219908711,3.2359437751004,2764.11902907616,3223,1.16601346255237,-0.460723866389398
catboost_poisson_s3_weather_offset,Frozen CatBoost Poisson final model,10,996,3.72702044519937,129.852344270272,8.86532293918245,9.28112449799197,8829.86164742572,9244,1.04690202056507,-0.415801558809521
model_s3_weather_offset_matched,Matched S3 weather Poisson GLM,1,997,0.00572715352946994,0.124805182866678,0.0743477042087648,0.14543630892678,74.1246610961385,145,1.95616408703626,-0.0710886047180155
model_s3_weather_offset_matched,Matched S3 weather Poisson GLM,2,996,0.124852514600058,0.21724804080283,0.168741094080662,0.310240963855422,168.066129704339,309,1.83856200260927,-0.14149986977476
model_s3_weather_offset_matched,Matched S3 weather Poisson GLM,3,997,0.2172873338798,0.337502113859144,0.275799480410994,0.453360080240722,274.97208196976,452,1.64380324272232,-0.177560599829729
model_s3_weather_offset_matched,Matched S3 weather Poisson GLM,4,996,0.337544212265602,0.492620389791967,0.411466744489839,0.571285140562249,409.82087751188,569,1.38841145296095,-0.15981839607241
model_s3_weather_offset_matched,Matched S3 weather Poisson GLM,5,996,0.492654171860941,0.680750989807536,0.581461224997502,0.916666666666667,579.135380097512,913,1.57648803954314,-0.335205441669164
model_s3_weather_offset_matched,Matched S3 weather Poisson GLM,6,997,0.681005561024383,0.928646931130147,0.792946824392878,1.17853560682046,790.567983919699,1175,1.48627319079411,-0.385588782427584
model_s3_weather_offset_matched,Matched S3 weather Poisson GLM,7,996,0.92908202182185,1.32937775183208,1.10316901221862,1.48192771084337,1098.75633616974,1476,1.34333696326642,-0.378758698624758
model_s3_weather_offset_matched,Matched S3 weather Poisson GLM,8,997,1.32943982991399,2.0198458024323,1.64049054458576,2.05416248746239,1635.56907295201,2048,1.25216356427161,-0.413671942876622
model_s3_weather_offset_matched,Matched S3 weather Poisson GLM,9,996,2.02108511894055,3.56972139006397,2.65427897877907,3.18775100401606,2643.66186286395,3175,1.20098566484612,-0.533472025236997
model_s3_weather_offset_matched,Matched S3 weather Poisson GLM,10,996,3.57210825803142,102.088422110972,8.50340876227656,9.24196787148594,8469.39512722746,9205,1.08685447564109,-0.738559109209383
baseline_d_municipality_seasonal_history,Municipality and seasonal historical expectation,1,997,0,0.111111111111111,0.00122589992198819,0.214643931795386,1.22222222222222,214,175.090909090909,-0.213418031873398
baseline_d_municipality_seasonal_history,Municipality and seasonal historical expectation,2,996,0.111111111111111,0.111111111111111,0.111111111111111,0.300200803212851,110.666666666667,299,2.70180722891566,-0.18908969210174
baseline_d_municipality_seasonal_history,Municipality and seasonal historical expectation,3,997,0.111111111111111,0.333333333333333,0.232363757940488,0.378134403209629,231.666666666667,377,1.6273381294964,-0.145770645269141
baseline_d_municipality_seasonal_history,Municipality and seasonal historical expectation,4,996,0.333333333333333,0.444444444444444,0.368473895582329,0.536144578313253,367,534,1.4550408719346,-0.167670682730924
baseline_d_municipality_seasonal_history,Municipality and seasonal historical expectation,5,996,0.444444444444444,0.666666666666667,0.537371709058456,0.987951807228916,535.222222222222,984,1.83848868590409,-0.45058009817046
baseline_d_municipality_seasonal_history,Municipality and seasonal historical expectation,6,997,0.666666666666667,1,0.791931349604369,1.20561685055165,789.555555555556,1202,1.52237545735998,-0.413685500947286
baseline_d_municipality_seasonal_history,Municipality and seasonal historical expectation,7,996,1,1.44444444444444,1.17112896028559,1.44377510040161,1166.44444444444,1438,1.2328062488093,-0.27264614011602
baseline_d_municipality_seasonal_history,Municipality and seasonal historical expectation,8,997,1.44444444444444,2.11111111111111,1.73799175303689,2.04513540621866,1732.77777777778,2039,1.17672330875281,-0.307143653181768
baseline_d_municipality_seasonal_history,Municipality and seasonal historical expectation,9,996,2.11111111111111,4.11111111111111,2.90852298081214,3.19879518072289,2896.88888888889,3186,1.09980055231666,-0.290272199910754
baseline_d_municipality_seasonal_history,Municipality and seasonal historical expectation,10,996,4.11111111111111,124,9.73226238286479,9.23092369477912,9693.33333333333,9194,0.948486932599725,0.501338688085676
