fold_id,validation_iso_year,candidate_id,n_predictions,mae,rmse,mean_poisson_deviance,poisson_deviance_status
kme_frozen_2017,2017,baseline_region_historical_rate,528,1.2449384389033067,1.929860096260291,2.0104823433541505,valid
kme_frozen_2017,2017,baseline_persistence_8w,528,1.5075757575757576,2.522624895547565,,invalid_pairs_present
kme_frozen_2017,2017,glm_seasonal_region_offset,528,0.9695443577109858,1.5311106851737155,1.5645289038757269,valid
kme_frozen_2018,2018,baseline_region_historical_rate,528,1.9832388276532031,4.097131895007119,4.023519287467904,valid
kme_frozen_2018,2018,baseline_persistence_8w,528,2.679924242424242,5.2210602081349045,,invalid_pairs_present
kme_frozen_2018,2018,glm_seasonal_region_offset,528,1.5270367230060493,3.2195676228337855,2.1909389625313493,valid
kme_frozen_2019,2019,baseline_region_historical_rate,528,1.357692946337539,2.1993814903749915,2.021683613027011,valid
kme_frozen_2019,2019,baseline_persistence_8w,528,1.75,3.068658773253661,,invalid_pairs_present
kme_frozen_2019,2019,glm_seasonal_region_offset,528,1.018766263040506,1.6997036995231272,1.4529547425103453,valid
kme_frozen_2020,2020,baseline_region_historical_rate,540,2.717879378334783,4.697730779731487,5.751084384815428,valid
kme_frozen_2020,2020,baseline_persistence_8w,540,3.2777777777777777,5.780234520424852,,invalid_pairs_present
kme_frozen_2020,2020,glm_seasonal_region_offset,540,1.8403471851841917,3.427132213107049,2.5618042628293614,valid
kme_frozen_2021,2021,baseline_region_historical_rate,528,1.1168857185426344,1.570700553287544,1.6699470347467864,valid
kme_frozen_2021,2021,baseline_persistence_8w,528,1.0113636363636365,1.6674240703261514,,invalid_pairs_present
kme_frozen_2021,2021,glm_seasonal_region_offset,528,1.4052396750575626,2.444943006678899,2.000653614065869,valid
kme_frozen_2022,2022,baseline_region_historical_rate,528,1.6436353598074256,2.9353754670404335,2.594519932743418,valid
kme_frozen_2022,2022,baseline_persistence_8w,528,2.090909090909091,4.000473456828314,,invalid_pairs_present
kme_frozen_2022,2022,glm_seasonal_region_offset,528,0.965196604272683,1.6088193196124627,1.0107124147997208,valid
kme_frozen_2023,2023,baseline_region_historical_rate,528,1.183304375996649,1.7932630300363381,1.7582115728515142,valid
kme_frozen_2023,2023,baseline_persistence_8w,528,1.143939393939394,2.4199298762692703,,invalid_pairs_present
kme_frozen_2023,2023,glm_seasonal_region_offset,528,0.8775650008487256,1.428628160045929,1.0936919759442205,valid
kme_frozen_2024,2024,baseline_region_historical_rate,528,1.1529158397743284,1.8210312362048915,1.6071050217434326,valid
kme_frozen_2024,2024,baseline_persistence_8w,528,1.3882575757575757,2.5289984842489197,,invalid_pairs_present
kme_frozen_2024,2024,glm_seasonal_region_offset,528,1.0773109547977815,1.8249661586651684,1.4590979093288248,valid
kme_frozen_2025,2025,baseline_region_historical_rate,528,1.2171887077888761,1.8598901981012794,1.7794007935636595,valid
kme_frozen_2025,2025,baseline_persistence_8w,528,1.2613636363636365,2.3796803961622217,,invalid_pairs_present
kme_frozen_2025,2025,glm_seasonal_region_offset,528,0.8719028752383068,1.3403630762319585,1.1916714207199532,valid
