fold_id,validation_iso_year,feature,coefficient,standard_error
kme_frozen_2017,2017,intercept,-1.8714075462248596,0.16730627105402535
kme_frozen_2017,2017,seasonal_sin_annual,0.7017106159698812,0.05324980857828406
kme_frozen_2017,2017,seasonal_cos_annual,-1.7903657477832198,0.07485556558506659
kme_frozen_2017,2017,region[02],0.41769635147478773,0.1759328876394099
kme_frozen_2017,2017,region[03],1.8276905374879187,0.17770466332776833
kme_frozen_2017,2017,region[04],0.1792925588913718,0.18605210188520965
kme_frozen_2017,2017,region[05],0.14968206556548594,0.2616835127968417
kme_frozen_2017,2017,region[06],-1.174224281446767,0.38729833409818076
kme_frozen_2017,2017,region[07],0.4959075589465838,0.19364916731204335
kme_frozen_2017,2017,region[08],0.6082465126088556,0.16728740129363276
kme_frozen_2017,2017,region[09],0.7247646062611348,0.17873008824788097
kme_frozen_2017,2017,region[10],0.9829509253556068,0.21408720964788688
kme_frozen_2017,2017,region[11],-0.011736929507787042,0.22360679775057057
kme_frozen_2017,2017,region[12],-0.8849239486859184,0.38729857309365345
kme_frozen_2018,2018,intercept,-1.3790015184001356,0.1165656005182685
kme_frozen_2018,2018,seasonal_sin_annual,0.6004689762373484,0.0384587893019639
kme_frozen_2018,2018,seasonal_cos_annual,-1.5001662787762313,0.049651946488120526
kme_frozen_2018,2018,region[02],0.14812017661194657,0.12802753834860883
kme_frozen_2018,2018,region[03],1.6552864131190248,0.12808688453823558
kme_frozen_2018,2018,region[04],-0.06719074966074992,0.13650996050230993
kme_frozen_2018,2018,region[05],-0.5431024519166511,0.23659717326117985
kme_frozen_2018,2018,region[06],-0.7713777484220284,0.23273730416981828
kme_frozen_2018,2018,region[07],0.062361843086214286,0.1487124224968279
kme_frozen_2018,2018,region[08],0.41138862595698544,0.11961738278661858
kme_frozen_2018,2018,region[09],0.7666193440059761,0.12578656179686062
kme_frozen_2018,2018,region[10],1.0604517075058522,0.14871242249939645
kme_frozen_2018,2018,region[11],-0.2846274895138416,0.1699807124465273
kme_frozen_2018,2018,region[12],-1.1779626644292465,0.2738615268847766
kme_frozen_2019,2019,intercept,-1.2777049925034532,0.09480417668875035
kme_frozen_2019,2019,seasonal_sin_annual,0.6315736011811883,0.030320334290484762
kme_frozen_2019,2019,seasonal_cos_annual,-1.513401935420246,0.038427290079253565
kme_frozen_2019,2019,region[02],0.16317631203885008,0.10432810619571634
kme_frozen_2019,2019,region[03],1.5211651035502693,0.1063462449247151
kme_frozen_2019,2019,region[04],0.021502668867220714,0.10983932182351158
kme_frozen_2019,2019,region[05],-0.6506406407636282,0.2014730697876677
kme_frozen_2019,2019,region[06],-1.1789026243068044,0.22360679771592484
kme_frozen_2019,2019,region[07],0.18005816807349184,0.11838560519287986
kme_frozen_2019,2019,region[08],0.509944177065293,0.0970581777185823
kme_frozen_2019,2019,region[09],1.0748960096667384,0.09978331502818455
kme_frozen_2019,2019,region[10],1.0766593994194615,0.12092411468149804
kme_frozen_2019,2019,region[11],-0.15807079868325513,0.13397282541371258
kme_frozen_2019,2019,region[12],-1.2990417379638495,0.2236069751040253
kme_frozen_2020,2020,intercept,-1.1358291819160005,0.08162937784093463
kme_frozen_2020,2020,seasonal_sin_annual,0.5449670448584599,0.025953066276391032
kme_frozen_2020,2020,seasonal_cos_annual,-1.4163600895109305,0.03221555157677357
kme_frozen_2020,2020,region[02],0.04190902524210097,0.09167972739352787
kme_frozen_2020,2020,region[03],1.4068743085828936,0.09354143467073191
kme_frozen_2020,2020,region[04],-0.019577450890699503,0.0956920934371791
kme_frozen_2020,2020,region[05],-0.7095362513741974,0.1785805858469442
kme_frozen_2020,2020,region[06],-1.1808530118775782,0.19364916730384235
kme_frozen_2020,2020,region[07],0.19524266311578847,0.10214744451381558
kme_frozen_2020,2020,region[08],0.46513606349192177,0.08425067612794471
kme_frozen_2020,2020,region[09],1.0659002821221026,0.08646091716852883
kme_frozen_2020,2020,region[10],1.2234243934633802,0.10156298859671976
kme_frozen_2020,2020,region[11],-0.23939369979327274,0.11858541225893543
kme_frozen_2020,2020,region[12],-1.6554392900775308,0.21889887226475235
kme_frozen_2021,2021,intercept,-1.1821132063025748,0.07211661743997368
kme_frozen_2021,2021,seasonal_sin_annual,0.6473334473673337,0.02311595209496083
kme_frozen_2021,2021,seasonal_cos_annual,-1.5900918184171307,0.02932823299190598
kme_frozen_2021,2021,region[02],-0.050039190980203443,0.08135899772894471
kme_frozen_2021,2021,region[03],1.561775905341183,0.08032701382480986
kme_frozen_2021,2021,region[04],-0.039610067034279633,0.08414522910784232
kme_frozen_2021,2021,region[05],-0.6290826897987055,0.1516229220451902
kme_frozen_2021,2021,region[06],-1.44567017723805,0.18988862910844884
kme_frozen_2021,2021,region[07],0.36028647504609923,0.08674723980310779
kme_frozen_2021,2021,region[08],0.4292393471460053,0.07402523436117908
kme_frozen_2021,2021,region[09],1.1520808053147022,0.0752978171933005
kme_frozen_2021,2021,region[10],1.4243048619787846,0.08578293954422317
kme_frozen_2021,2021,region[11],0.12479013550512484,0.09473309334500224
kme_frozen_2021,2021,region[12],-1.6751082230876748,0.18988868681743354
kme_frozen_2022,2022,intercept,-1.128810058211244,0.06690664047046001
kme_frozen_2022,2022,seasonal_sin_annual,0.604170758717807,0.021713704384865414
kme_frozen_2022,2022,seasonal_cos_annual,-1.5014612877491786,0.02699373512849273
kme_frozen_2022,2022,region[02],-0.06101376426374668,0.07582179863872163
