scenario_family,year,air_temperature_c_mean_climate,near_surface_specific_humidity_g_kg_climate,precipitation_sum_mm_proxy_climate,soil_moisture_upper_portion_kg_m2_climate,air_temperature_c_mean_climate_anomaly_vs_2016_2025,near_surface_specific_humidity_g_kg_climate_anomaly_vs_2016_2025,precipitation_sum_mm_proxy_climate_anomaly_vs_2016_2025,soil_moisture_upper_portion_kg_m2_climate_anomaly_vs_2016_2025,lyme_cases,kme_cases,tick_borne_cases_total,lyme_cases_per_100k,kme_cases_per_100k,tick_borne_cases_total_per_100k,lyme_cases_lag_1y,lyme_cases_lag_2y,lyme_cases_lag_3y,lyme_cases_rolling_3y_mean,kme_cases_lag_1y,kme_cases_lag_2y,kme_cases_lag_3y,kme_cases_rolling_3y_mean,tick_borne_cases_total_lag_1y,tick_borne_cases_total_lag_2y,tick_borne_cases_total_lag_3y,tick_borne_cases_total_rolling_3y_mean,lyme_cases_per_100k_lag_1y,lyme_cases_per_100k_lag_2y,lyme_cases_per_100k_lag_3y,lyme_cases_per_100k_rolling_3y_mean,kme_cases_per_100k_lag_1y,kme_cases_per_100k_lag_2y,kme_cases_per_100k_lag_3y,kme_cases_per_100k_rolling_3y_mean,tick_borne_cases_total_per_100k_lag_1y,tick_borne_cases_total_per_100k_lag_2y,tick_borne_cases_total_per_100k_lag_3y,tick_borne_cases_total_per_100k_rolling_3y_mean,table_role,target_available,projection_horizon_years_from_2025,air_temperature_c_mean_climate_anomaly_vs_2016_2025_z,near_surface_specific_humidity_g_kg_climate_anomaly_vs_2016_2025_z,precipitation_sum_mm_proxy_climate_anomaly_vs_2016_2025_z,soil_moisture_upper_portion_kg_m2_climate_anomaly_vs_2016_2025_z,thermal_humidity_index,wetness_index
high_emissions,2026,10.207236061493555,6.302066683769226,1197.8292336463928,27.59611924489339,-0.0273185312747958,0.028332072496414,19.86809381246576,-0.1791575908660867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,1,-0.1914507262133024,0.6117405976951438,0.551777799991342,-0.9130695895488541,0.4202898714818414,-0.36129178955751207
high_emissions,2027,10.223426754275955,6.341887990633647,1259.5869834423063,27.896540641784668,-0.0111278384923938,0.0681533793608348,81.62584360837945,0.1212638060251904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,2,-0.07798489381157322,1.471554508778629,2.266917442296869,0.6180162004819034,1.3935696149670558,2.8849336427787726
high_emissions,2028,10.36088932553927,6.240639686584473,1100.7495918273926,27.75784985224406,0.1263347327709194,-0.0330949246883394,-77.21154800653449,-0.017426983515417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,3,0.885365179103582,-0.7145791756703668,-2.144323380748339,-0.08881593355087733,0.17078600343321526,-2.2331393142992164
high_emissions,2029,10.48858850200971,6.419602433840434,1181.1754195690155,28.35940678914388,0.2540339092413592,0.1458678225676219,3.21427973508844,0.5841299533844015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,4,1.7802925024718994,3.1495496481346583,0.08926715454056434,2.9769952487167597,4.929842150606557,3.066262403257324
high_emissions,2030,10.110958206156887,6.327145934104919,1282.0939960479736,27.71572271982829,-0.123596386611462,0.0534113228321073,104.13285621404656,-0.0595541159311885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,5,-0.8661746027296847,1.1532468920915393,2.891983440935376,-0.3035152009265449,0.2870722893618546,2.5884682400088312
high_emissions,2031,10.102949192126593,6.309604942798615,1197.5707757472992,27.349661350250244,-0.1316054006417584,0.0358703315258024,19.60963591337213,-0.4256154855092333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,6,-0.9223024939742428,0.7745052201844642,0.5445998929259552,-2.1691325205976106,-0.14779727378977858,-1.6245326276716554
high_emissions,2032,10.805292069911957,6.477516353130341,1223.4363033771515,27.34124533335368,0.5707374771436058,0.2037817418575285,45.475163543224426,-0.4340315024057979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,7,3.9997796139613158,4.40001572701964,1.2629387565294983,-2.2120244184861364,8.399795340980955,-0.9490856619566381
high_emissions,2033,10.569158904254436,6.399744172890981,1166.6217470169067,27.461990038553875,0.3346043114860855,0.1260095616181686,-11.339392817020324,-0.3132867972056026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,8,2.3449371338354585,2.7207739408883103,-0.3149182443404553,-1.5966537948671506,5.065711074723769,-1.9115720392076059
high_emissions,2034,10.860503688454628,6.553859810034434,1197.8768966197968,26.533159573872883,0.625949095686277,0.2801251987616222,19.91575678586969,-1.2421172618865943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,9,4.386707606505285,6.04840879683601,0.5531014987243008,-6.3304015922499,10.435116403341294,-5.777300093525599
high_emissions,2035,10.623242149750393,6.391568144162496,1150.7629868984222,27.256088733673096,0.38868755698204,0.1178335328896835,-27.198152935504822,-0.5191881020863818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,10,2.7239573864991087,2.544238719126146,-0.7553486072813407,-2.6460216671756664,5.268196105625255,-3.4013702744570073
high_emissions,2036,10.470181316137314,6.426359792550405,1186.500717163086,27.446877320607506,0.2356267233689628,0.1526251812775925,8.539577329158874,-0.3283995151519754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,11,1.6512932869809518,3.2954532228414193,0.23716161379219966,-1.6736751653017212,4.946746509822371,-1.4365135515095215
high_emissions,2037,10.657737255096436,6.544832567373912,1283.6434063911438,26.922243277231853,0.4231826623280845,0.2710979561010997,105.68226655721674,-0.8530335585276241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,12,2.965702189793042,5.853494329446232,2.9350137506625162,-4.347451857277948,8.819196519239274,-1.4124381066154315
high_emissions,2038,10.804747904340426,6.520853122075399,1196.1011831760406,26.82978852589925,0.5701933115720745,0.2471185108025864,18.140043342113582,-0.9454883098602274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,13,3.995966052653719,5.3357348114594245,0.5037862867739703,-4.818643847765248,9.331700864113143,-4.314857560991277
high_emissions,2039,11.130708595116934,6.639914890130361,1257.193800449371,26.75633144378662,0.8961540023485828,0.3661802788575485,79.23266061544427,-1.0189453919728564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,14,6.280327914512981,7.906493345336605,2.2004538318829723,-5.193014967011695,14.186821259849586,-2.992561135128723
high_emissions,2040,10.989562590916952,6.489535748958588,1154.7144169807434,27.49416303634644,0.7550079981486011,0.2158011376857755,-23.24672285318365,-0.2811137994130419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,15,5.291164012018569,4.65953618352126,-0.6456092725357593,-1.4326853816561975,9.950700195539827,-2.0782946541919567
high_emissions,2041,11.20635849237442,6.55770359436671,1210.7084391117096,26.92371193567912,0.9718038996060692,0.2839689830938976,32.74729927778253,-0.8515649000803585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,16,6.810489204013561,6.13140304037873,0.9094598063461848,-4.339966897477195,12.941892244392292,-3.4305070911310103
high_emissions,2042,11.048498250544071,6.547436575094859,1159.3528187274933,27.08784818649292,0.8139436577757202,0.273701963822047,-18.608321106433777,-0.6874286492665576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,17,5.704190419696719,5.90971955758006,-0.5167913227386911,-3.5034529745328746,11.61390997727678,-4.0202442972715655
high_emissions,2043,11.194140096505484,6.648791551589966,1213.6472148895264,27.594151337941486,0.9595855037371326,0.3750569403171537,35.686075055599304,-0.181125497817991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,18,6.72486158594217,8.098156492729851,0.9910756497510609,-0.9230989496455113,14.823018078672021,0.06797670010554957
high_emissions,2044,11.031505912542343,6.514131267865499,1205.5257074832916,27.42000881830852,0.7969513197739921,0.2403966565926865,27.56456764936456,-0.3552680174509639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,19,5.585106585438974,5.190597843011237,0.7655246969760163,-1.8106094266262498,10.775704428450211,-1.0450847296502335
high_emissions,2045,10.62028036514918,6.536552985509236,1275.0939798355105,27.14690001805624,0.3857257723808285,0.2628183742364243,97.1328400015832,-0.6283768177032449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,20,2.7032009334129037,5.674723208512403,2.6975786036080343,-3.202497646059389,8.377924141925307,-0.5049190424513545
high_emissions,2046,10.973273113369942,6.592138489087422,1176.5274958610537,26.83306662241618,0.7387185206015907,0.3184038778146103,-1.4336439728735968,-0.942210213343298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,21,5.177005887094491,6.874914588313828,-0.03981523968981701,-4.8019371582705705,12.05192047540832,-4.841752397960388
high_emissions,2047,10.808487157026926,6.596153716246287,1277.3764142990112,26.97997570037841,0.5739325642585751,0.3224191049734752,99.41527446508417,-0.7953011353810595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,22,4.022171072064336,6.961610592016228,2.760966499738503,-4.053220841716371,10.983781664080563,-1.292254341977868
high_emissions,2048,10.812033355236052,6.629657884438832,1289.4573426246643,27.588374773661297,0.5774787624677025,0.3559232731660202,111.49620279073724,-0.1869020620981807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,23,4.047023148319993,7.685026073816238,3.0964787092288546,-0.9525389814678735,11.732049222136231,2.143939727760981
high_emissions,2049,11.051800827185312,6.545343478520711,1172.187709569931,27.008468468983967,0.8172462344169613,0.2716088672478989,-5.773430263996033,-0.7668083667755106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,24,5.727335174075372,5.8645258235365985,-0.16034002454087815,-3.9080085712788617,11.59186099761197,-4.06834859581974
high_emissions,2050,11.3690718015035,6.714000602563222,1197.3258900642395,26.85646390914917,1.134517208735149,0.4402659912904099,19.36475023031244,-0.9188129266103076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,25,7.950798720802002,9.506137635745842,0.5377989141947558,-4.682693810050865,17.456936356547843,-4.144894895856109
high_emissions,2051,11.279279311498009,6.685178558031718,1223.0490219593048,26.838128248850506,1.0447247187296558,0.4114439467589061,45.08788212537775,-0.9371485869089716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,26,7.3215248682976055,8.88381765718692,1.2521831555778413,-4.776140778957262,16.205342525484525,-3.5239576233794208
high_emissions,2052,11.43378496170044,6.71634966135025,1231.3924593925476,26.725922107696533,1.1992303689320885,0.4426150500774382,53.431319558620544,-1.0493547280629445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,27,8.40431437252712,9.556858056095594,1.4838975613348566,-5.347994947977076,17.961172428622714,-3.8640973866422197
high_emissions,2053,11.501596490542092,6.825226386388143,1229.9083080291748,27.504350503285725,1.2670418977737423,0.5514917751153305,51.94716819524774,-0.2709263324737527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,28,8.879543670609731,11.907703122519887,1.4426796276032279,-1.3807653585534534,20.78724679312962,0.061914269049774484
