model_name,alpha,validation_year,fold_rmse,mean_fold_rmse
lyme_prevalence,0.1,2022,1430.2105513643073,2744.161188082894
lyme_prevalence,0.1,2023,4058.111824801481,2744.161188082894
lyme_prevalence,1.0,2022,1116.1609652775624,2587.1363950395216
lyme_prevalence,1.0,2023,4058.111824801481,2587.1363950395216
lyme_prevalence,10.0,2022,1219.7945813640054,1136.6846245517654
lyme_prevalence,10.0,2023,1053.5746677395255,1136.6846245517654
lyme_prevalence,100.0,2022,3790.0001952453104,2264.9093054842374
lyme_prevalence,100.0,2023,739.8184157231644,2264.9093054842374
lyme_prevalence,1000.0,2022,4288.844751830584,2636.94776227469
lyme_prevalence,1000.0,2023,985.050772718796,2636.94776227469
