model_name,alpha,validation_year,fold_rmse,mean_fold_rmse
kme_prevalence,0.1,2022,66.85759714149359,84.27626176933336
kme_prevalence,0.1,2023,101.69492639717312,84.27626176933336
kme_prevalence,1.0,2022,55.1808618941557,64.85616294496884
kme_prevalence,1.0,2023,74.53146399578198,64.85616294496884
kme_prevalence,10.0,2022,9.716855401453813,17.078016271959108
kme_prevalence,10.0,2023,24.439177142464402,17.078016271959108
kme_prevalence,100.0,2022,21.805850702091448,51.68406027793366
kme_prevalence,100.0,2023,81.56226985377587,51.68406027793366
kme_prevalence,1000.0,2022,26.976408731376523,58.83237674837023
kme_prevalence,1000.0,2023,90.68834476536394,58.83237674837023
